,pair,actor1,actor2,lineCount,score
0,"('ChaSeungWon', 'LeeSeungGi')",ChaSeungWon,LeeSeungGi,5,0.5928571428571429
1,"('JungHaeIn', 'SonYeJin')",JungHaeIn,SonYeJin,9,0.5010869565217392
2,"('GoSungHee', 'YoonHyunMin')",GoSungHee,YoonHyunMin,5,0.4875490196078431
3,"('ChoiJinHyuk', 'SongJiHyo')",ChoiJinHyuk,SongJiHyo,5,0.4783333333333334
4,"('JungEunJi', 'KimJiSoo')",JungEunJi,KimJiSoo,6,0.4666666666666666
5,"('ParkHyeSoo', 'YeonWooJin')",ParkHyeSoo,YeonWooJin,5,0.44925925925925925
6,"('ParkMinYoung', 'SeoKangJoon')",ParkMinYoung,SeoKangJoon,7,0.4334780844155844
7,"('JangKiYong', 'JinKiJoo')",JangKiYong,JinKiJoo,8,0.4261904761904762
8,"('ChaeSooBin', 'JungHaeIn')",ChaeSooBin,JungHaeIn,7,0.4206666666666667
9,"('GongYoo', 'LeeDongWook')",GongYoo,LeeDongWook,13,0.4126016260162601
10,"('HwangJungEum', 'ParkSeoJoon')",HwangJungEum,ParkSeoJoon,7,0.40873015873015883
11,"('BangMinAh', 'NamgoongMin')",BangMinAh,NamgoongMin,8,0.40701754385964906
12,"('KimJungHyun', 'KimSeJeong')",KimJungHyun,KimSeJeong,6,0.39765625000000004
13,"('JiChangWook', 'ParkMinYoung')",JiChangWook,ParkMinYoung,34,0.39715808416389825
14,"('KimYooJung', 'ParkBoGum')",KimYooJung,ParkBoGum,10,0.3932828282828283
15,"('JiHyunWoo', 'YooInNa')",JiHyunWoo,YooInNa,10,0.38918918918918916
16,"('HyunBin', 'SonYeJin')",HyunBin,SonYeJin,33,0.38175294189378706
17,"('ChoiKangHee', 'ChunJungMyung')",ChoiKangHee,ChunJungMyung,5,0.36666666666666675
18,"('LeeSeoJin', 'Uee')",LeeSeoJin,Uee,5,0.3454212454212454
19,"('KimAhJoong', 'KimNamGil')",KimAhJoong,KimNamGil,7,0.34315476190476196
20,"('JungSoMin', 'LeeMinKi')",JungSoMin,LeeMinKi,9,0.3397372742200328
21,"('IU', 'LeeJoonGi')",IU,LeeJoonGi,7,0.33820346320346323
22,"('LeeSungKyung', 'NamJooHyuk')",LeeSungKyung,NamJooHyuk,18,0.33559523809523806
23,"('LeeMinHo', 'ParkMinYoung')",LeeMinHo,ParkMinYoung,8,0.3317355889724311
24,"('LeeJoonHyuk', 'LeeYooBi')",LeeJoonHyuk,LeeYooBi,5,0.3291666666666667
25,"('KimJiWon', 'ParkSeoJoon')",KimJiWon,ParkSeoJoon,16,0.32693089430894307
26,"('ParkBoYoung', 'ParkHyungShik')",ParkBoYoung,ParkHyungShik,15,0.3198198198198198
27,"('LeeDongWook', 'YooInNa')",LeeDongWook,YooInNa,24,0.3187095238095239
28,"('LeeJunHo', 'WonJinAh')",LeeJunHo,WonJinAh,9,0.31590909090909086
29,"('Nana', 'ParkSungHoon')",Nana,ParkSungHoon,7,0.31560101010101005
30,"('HaJiWon', 'LeeSeungGi')",HaJiWon,LeeSeungGi,7,0.30541666666666667
31,"('ChaEunWoo', 'MoonGaYoung')",ChaEunWoo,MoonGaYoung,7,0.3049084249084249
32,"('ParkJinYoung', 'ShinYeEun')",ParkJinYoung,ShinYeEun,5,0.3040000000000001
33,"('LeeJeHoon', 'ShinMinAh')",LeeJeHoon,ShinMinAh,8,0.30031746031746026
34,"('HaJiWon', 'HyunBin')",HaJiWon,HyunBin,13,0.29940170940170935
35,"('JiChangWook', 'KimYooJung')",JiChangWook,KimYooJung,9,0.2990196078431373
36,"('IU', 'YeoJinGoo')",IU,YeoJinGoo,14,0.298030303030303
37,"('LeeJongSuk', 'LeeNaYoung')",LeeJongSuk,LeeNaYoung,8,0.2944791666666666
38,"('ShinMinAh', 'SoJiSub')",ShinMinAh,SoJiSub,12,0.29023809523809524
39,"('JooJiHoon', 'KimHyeSoo')",JooJiHoon,KimHyeSoo,10,0.2845238095238095
40,"('LeeSeungGi', 'ShinMinAh')",LeeSeungGi,ShinMinAh,8,0.2837121212121212
41,"('JunJiHyun', 'KimSooHyun')",JunJiHyun,KimSooHyun,12,0.2821138211382113
42,"('HanGiChan', 'JangEuiSoo')",HanGiChan,JangEuiSoo,6,0.27666666666666667
43,"('KimDongWook', 'MoonGaYoung')",KimDongWook,MoonGaYoung,11,0.27612745098039215
44,"('Krystal', 'Rain')",Krystal,Rain,9,0.2734375
45,"('KimJaeWook', 'ParkMinYoung')",KimJaeWook,ParkMinYoung,17,0.2728142857142856
46,"('MoonChaeWon', 'ParkShiHoo')",MoonChaeWon,ParkShiHoo,5,0.2683197049863717
47,"('GongHyoJin', 'JoInSung')",GongHyoJin,JoInSung,16,0.267517006802721
48,"('SongHyeKyo', 'SongJoongKi')",SongHyeKyo,SongJoongKi,13,0.2666532258064515
49,"('JiChangWook', 'NamJiHyun')",JiChangWook,NamJiHyun,13,0.2651315789473684
50,"('ParkYooChun', 'ShinSeKyung')",ParkYooChun,ShinSeKyung,8,0.2599731182795699
51,"('JungSoMin', 'SeoInGuk')",JungSoMin,SeoInGuk,10,0.2595052083333333
52,"('AhnHyoSeop', 'ParkBoYoung')",AhnHyoSeop,ParkBoYoung,6,0.2584102934102934
53,"('JiChangWook', 'KimJiWon')",JiChangWook,KimJiWon,7,0.2536805555555556
54,"('KwonNaRa', 'ParkSeoJoon')",KwonNaRa,ParkSeoJoon,6,0.2529411764705882
55,"('KimHyeYoon', 'RoWoon')",KimHyeYoon,RoWoon,12,0.2525738536155202
56,"('KimSooHyun', 'SeoYeJi')",KimSooHyun,SeoYeJi,35,0.24899145778775408
57,"('LeeJoonGi', 'MoonChaeWon')",LeeJoonGi,MoonChaeWon,16,0.24409203980099495
58,"('LeeJongSuk', 'ParkShinHye')",LeeJongSuk,ParkShinHye,19,0.24366126543209882
59,"('GongSeungYeon', 'LeeJongHyun')",GongSeungYeon,LeeJongHyun,7,0.24349206349206348
60,"('JungYongHwa', 'ParkShinHye')",JungYongHwa,ParkShinHye,9,0.24024390243902433
61,"('JinKiJoo', 'KimYoungKwang')",JinKiJoo,KimYoungKwang,12,0.23867521367521363
62,"('KimSoHyun', 'OkTaecYeon')",KimSoHyun,OkTaecYeon,9,0.23419540229885058
