,Actress,Array,Least_Array_Diff,2ndLeast_Array_Diff,3rdLeast_Array_Diff,4thLeast_Array_Diff,5thLeast_Array_Diff,1stMatch,2ndMatch,3rdMatch,4thMatch,5thMatch,Best_Match_Actress,Second_Match_Actress,Third_Match_Actress,Fourth_Match_Actress,Fifth_Match_Actress
0,Jeon_Hye_Jin.png,"[ 1.00570374e+01 -5.93734932e+00  3.45059931e-01 -1.20929985e+01
 -1.19697742e+01  2.22610736e+00 -1.41368699e+00 -5.02225339e-01
 -3.33084369e+00 -6.13454938e-01 -1.38263476e+00 -6.94341242e-01
  4.81181192e+00 -5.56591940e+00  8.38479877e-01  3.01680475e-01
  2.02158689e+00  1.40618825e+00 -1.01724112e+00  1.96578312e+00
  1.54479489e-01 -8.47938061e-01  1.35611081e+00 -6.27312660e+00
  3.30300808e+00 -3.22625470e+00 -1.15838134e+00 -8.03789437e-01
  1.05162132e+00  4.16654205e+00 -8.62359166e-01  8.62668514e-01
 -1.98969674e+00 -3.89172792e+00 -7.69078255e-01 -1.83258545e+00
  2.23917294e+00 -6.28090873e-02  4.13293982e+00  3.07687342e-01
 -1.01895738e+00 -1.83555400e+00  3.48235428e-01  2.16518998e+00
 -3.51444030e+00 -1.48363495e+00 -7.48185575e-01 -9.03674424e-01
  1.81494129e+00  4.61744756e-01  8.20232928e-01 -3.76173353e+00
  3.70056808e-01  2.43530363e-01 -1.80441535e+00  1.19024646e+00
  2.89419961e+00 -4.21777368e-03 -3.55886579e-01  5.27785420e-01
 -6.88316464e-01  2.23875701e-01  1.66573018e-01 -1.64800286e-02
 -5.97633481e-01  5.42186618e-01  1.39754331e+00 -1.30719864e+00
  7.85999358e-01  2.90781260e-01  7.19197750e-01  2.09591842e+00
 -1.31074131e+00 -4.99777019e-01  1.16803177e-01 -1.22138095e+00
  3.66948038e-01 -8.25531125e-01 -1.74264753e+00 -4.04426903e-01
  1.79651225e+00  1.13774669e+00 -9.23453420e-02 -2.52372861e-01
 -6.59322977e-01  1.03237994e-01 -3.99390757e-01 -9.56484914e-01
  4.62380290e-01  6.05552077e-01  1.12620145e-02  9.81887877e-01
 -6.12880468e-01  2.20768958e-01 -1.74053684e-01  3.61142367e-01
 -6.50082469e-01 -2.58917189e+00  1.63522899e-01  1.53037477e+00]",27.373397827148438,27.75860023498535,28.542064666748047,28.774690628051758,28.89317512512207,349,47,413,376,275,Lee_Elijah.png,Jung_Da_Bin.png,Han_Ye_Seul.png,Jeon_Hye_Bin.png,Kim_Hye_Yoon.png
1,Kim_Hyun_Soo.png,"[ 2.1984091e+00 -1.0022728e+01  3.6321774e-02  4.9317007e+00
 -5.4079026e-01  4.5726995e+00  3.9594913e+00 -1.1831554e+00
 -8.0810995e+00 -2.8030181e+00 -5.5438972e+00 -1.9776466e-01
  1.1828126e+00 -8.7992918e-01 -8.6483294e-01 -6.5992320e-01
 -1.8378903e+00 -1.2883437e+00 -2.4291601e+00  4.6393821e-01
  9.7192132e-01 -1.5811121e-01 -2.6188006e+00  1.5304693e+00
  8.1633359e-01 -7.1999955e-01 -1.1923549e+00 -1.5644207e+00
 -2.7917354e+00  1.8681250e+00  5.2324504e-02  2.5706220e+00
 -5.1716101e-01  2.7982335e+00  2.2110558e+00  1.7364055e+00
 -4.7771935e+00 -1.4297160e+00  8.0959976e-02  1.4045203e+00
 -1.5005735e+00  4.5514166e-01 -6.0802585e-01 -1.2830029e+00
 -1.7585975e+00  7.2570646e-01  1.4195572e+00 -1.2305303e+00
 -1.3098279e-01  1.0601501e+00  1.8031916e-01 -4.3651938e-01
  1.2014390e+00  2.3435040e+00 -1.3058405e-01 -7.9632246e-01
 -5.1271260e-02  1.3094634e-02 -8.4247994e-01 -7.2674865e-01
 -3.7194300e-01  4.3731779e-01 -1.1872109e+00  6.7608345e-01
 -3.9758322e-01  7.5419080e-01  2.6656559e-01  7.0856404e-01
 -1.1452072e+00 -2.0861742e+00  2.0316639e+00  5.6020826e-01
 -7.4272537e-01  7.7982444e-01 -5.4594290e-01 -5.6308556e-01
  9.4241989e-01  1.4326962e+00 -2.3267636e+00  3.7743309e-01
  2.7910036e-01  1.5818878e-01 -3.6982250e-01  3.4357822e-01
 -8.4791201e-01 -8.1988680e-01 -1.1842437e+00 -2.0187251e-01
 -3.9739567e-01 -1.5743873e-01 -3.7842157e-01 -8.1516951e-03
 -9.2101306e-01  3.3434519e-01  8.4164582e-02 -5.9741551e-01
  2.7865052e-01 -4.3217900e-01 -1.2169708e+00  4.7379681e-01]",17.85985565185547,19.096994400024414,20.494192123413086,21.847497940063477,23.01679801940918,47,63,413,100,249,Jung_Da_Bin.png,Go_Won_Hee.png,Han_Ye_Seul.png,Jung_Ji_Yeon.png,Joo_Min_Kyung.png
2,Im_Soo_Jung.png,"[ -2.597886   -12.319992     9.091196    -1.5792747    3.8044977
  -2.1485937   -0.24870348  -9.3307705   -4.9064503   -2.1811876
  11.466263    -1.4014856    2.7640872    1.5479267   -5.345914
  -0.57097274   6.1973577    1.6089311    0.51533276   0.32007802
  -2.9221308    5.552793     6.503562     0.36038092   1.3439739
   3.1232712   -0.437741     3.7610197   -1.1578709    2.5309944
  -0.9020147    4.0350137   -3.1816921    1.4627848   -1.5880722
  -1.6415621   -4.164933     1.5941937   -0.0856958    1.0332503
  -0.17222655   1.521061    -0.72668535  -1.6212497   -4.1147695
   0.04823358  -1.0814223   -5.2632475    0.4609305   -3.238709
   0.45816842  -0.04414842  -1.5958464   -0.5622107    1.7704763
  -1.8764855    2.3686624   -2.323177     0.26497883  -0.20973553
   0.68206257  -2.1966898   -1.9758873   -1.1332755    2.4449925
   0.84057885   0.17599751  -0.9210397   -1.7036587    0.89830565
   1.9459592    1.3169787   -3.4712796   -0.36125118  -0.03241074
   2.4321148    2.7234871   -1.5228224   -0.81057477   1.1603941
   0.9544458    2.1738474   -1.9207208   -1.551337     2.3947127
   0.19680837  -0.42231566   1.002375     1.1569192   -0.5948799
  -0.9540663   -0.77720636  -2.2525675    1.0015619    1.8343756
   1.6021554   -0.4168812   -1.8012497    2.0210783   -0.08655086]",27.188493728637695,29.429840087890625,29.550230026245117,29.815595626831055,30.26502227783203,115,23,245,230,29,Han__Sun_Hwa.png,Kim_Sa_Rang.png,Shin_Rin_Ah.png,Jang_Hee_Ryung.png,Park_Ha_Sun.png
3,Bae_Hae_Seon.png,"[ 2.4630611e+01  7.5303531e-01 -2.7690136e+00 -2.2539837e+01
 -1.4872076e+01 -6.7223258e+00  6.0622853e-01 -7.2822475e+00
  6.7730017e+00 -2.6771932e+00 -6.6850405e+00 -2.5041447e+00
 -3.1954992e+00  2.9594629e+00 -1.7886401e+00  6.7108874e+00
 -5.4139161e+00 -4.0861726e+00  4.2923114e-01 -6.2080038e-01
  2.4334903e+00  1.7861888e-02  3.6491883e+00  2.4643722e+00
 -1.8826505e+00 -4.9720383e+00  1.2949531e+00 -9.2757905e-01
  1.5634086e+00 -2.9444656e-01  3.3302060e-01  1.7817981e+00
 -3.7621951e-01  3.5843128e-01 -4.3173490e+00 -2.7972558e+00
 -2.1007776e-02 -1.5438645e+00 -1.9678143e-01 -3.1473339e+00
 -2.2394567e+00 -2.0164671e+00  3.2324944e+00 -1.2234008e-01
  2.6618674e+00 -7.8732169e-01  1.6899526e+00 -2.2279198e+00
  9.6334159e-01 -4.0432973e+00  3.1998689e+00  3.6301055e+00
 -2.9325581e+00  2.4001112e+00 -3.2289860e+00  3.3624983e-01
  1.9764141e+00  2.1048622e+00  2.7404151e+00  4.6849775e+00
 -2.2473054e+00  1.7378653e+00 -6.6036117e-01 -1.4441814e+00
  1.9287796e+00  1.9691538e+00  1.8390645e-01 -1.5022715e+00
 -1.2698886e+00 -7.2223598e-01  3.2526594e-01  1.1756663e+00
 -9.2419010e-01  5.0568461e-01 -1.0409377e+00 -1.0009077e+00
  1.2890774e-01 -2.2946674e-01 -2.3636727e+00 -2.1925834e-01
 -1.3390336e+00  7.9986399e-01 -6.4541638e-01 -2.1080112e+00
 -5.5279350e-01  5.0325340e-01 -1.0551412e+00 -1.4120507e+00
  1.2673306e+00  1.2084163e+00  4.6713555e-01  3.1219525e+00
 -8.0412245e-01 -7.9062843e-01  3.1484893e-01  8.5433358e-01
 -2.1147256e+00 -1.0040449e+00 -4.8464537e-03 -1.0102766e+00]",28.366071701049805,34.246185302734375,37.451446533203125,37.535972595214844,37.55065155029297,39,28,0,102,54,Go_Doo_Shim.png,Kim_Hye_Eun.png,Jeon_Hye_Jin.png,Kim_Young_Ok.png,Lee_Yeol_Eum.png
4,Choi_Kang_Hee.png,"[ 1.08650255e+01 -5.78847229e-01  1.37638741e+01  1.03206146e+00
  2.72649932e+00 -4.41707706e+00  5.17629862e+00  8.75569344e+00
  5.22098875e+00  2.75423288e+00  8.08971977e+00 -9.64742279e+00
  3.05570632e-01 -6.30015755e+00 -1.37955523e+00 -3.48934674e+00
 -3.94271851e+00 -8.88503647e+00  5.68395329e+00  7.43344545e-01
 -1.99459469e+00  2.47402072e+00 -6.23184252e+00  1.11841166e+00
 -2.56318092e-01  1.44281685e-01  1.39678931e+00 -1.68986034e+00
 -3.96262145e+00 -3.93501568e+00  2.90639102e-02  8.04182887e-03
  5.72257233e+00 -8.48243237e-01  2.87975550e+00 -1.19979143e-01
  1.45885432e+00  2.46227837e+00 -1.03366923e+00 -3.19494098e-01
 -9.99791980e-01  4.50862795e-01 -8.33320677e-01 -2.25481606e+00
  5.29377699e+00  2.46264920e-01 -2.42147064e+00 -9.08539593e-01
  8.44685793e-01  4.46821451e+00  2.67782521e+00 -1.42070293e+00
  2.28012824e+00 -4.06538486e-01 -1.49438992e-01  1.86685300e+00
 -3.11178946e+00 -7.12626576e-01  1.75092649e+00  1.16112757e+00
  1.08917725e+00  2.69699264e+00  4.15095657e-01  4.54285336e+00
  1.00410104e+00  7.13215590e-01  1.95027769e+00 -4.46620464e-01
 -1.69914782e+00  8.11597884e-01  1.39528310e+00  9.58731651e-01
 -2.35873556e+00 -4.37544107e-01  1.41069973e+00 -1.30535007e+00
  1.40261793e+00 -2.00788951e+00 -1.48799109e+00  2.24056578e+00
  1.54905033e+00 -5.70251942e-01 -1.70575190e+00 -1.35025454e+00
  6.18636966e-01  2.86810732e+00  2.16996455e+00  1.47316265e+00
 -3.47406387e+00 -9.78429496e-01 -3.86668015e+00 -3.22925746e-01
  5.95367551e-02  7.38474607e-01  1.12482287e-01  1.22658931e-01
  6.42815679e-02 -2.62872362e+00 -1.07531512e+00 -2.28389215e+00]",29.160507202148438,31.25535011291504,33.89041519165039,34.43802261352539,34.56192398071289,235,352,88,167,140,Lee_Bo_Young.png,Jung_Ae_Yun.png,Yeom_Jung_Ah.png,Yeom_Hye_Ran.png,Jo_Hye_Joo.png
5,Chae_Rim.png,"[ 6.2814217e+00 -5.5748634e+00 -1.1524236e+00 -1.5183188e+00
  2.7428296e+00  3.0586369e+00  7.5519772e+00 -1.3087658e+01
 -1.3092029e+01  2.7011659e+00 -1.6903547e+00  1.3006806e+01
 -8.5045648e-01 -5.1806808e-01  3.0082481e+00  1.2853544e+00
  8.6267910e+00 -9.4965470e-01  3.9184415e+00  4.0206957e+00
  6.3246870e+00 -5.5841832e+00 -1.3627853e+00 -2.4066157e+00
 -2.9172015e+00  3.0163119e+00  3.9039431e+00 -6.8923998e-01
  2.4215128e-01  4.1474328e+00  5.7216454e-01  4.0599651e+00
  6.6347587e-01 -3.1969476e+00 -3.8718040e+00  1.3355029e+00
 -1.2149130e+00 -1.6657943e+00 -4.2033606e+00 -3.8259536e-01
 -7.0955986e-01  4.3747246e-01 -3.4276037e+00  4.9295907e+00
 -6.1523910e+00  3.5988021e+00 -1.6317163e+00  2.7346470e+00
  1.6861053e-01 -2.9623213e+00  2.2417698e+00  2.3439751e+00
 -1.8338505e+00  2.6895030e+00  1.1244608e+00 -5.8662224e-01
 -3.0067451e+00  2.6810613e+00 -1.9058776e-01  2.1966223e-01
  2.0845138e-02  1.8446870e+00 -1.9558860e+00  5.0050557e-02
  1.3319258e-02  1.3725115e+00  2.1177676e+00 -1.8848643e+00
  2.6462345e+00 -5.2610421e-01  1.6511929e-01  1.1541170e+00
 -6.1292791e-01 -1.4343573e+00 -3.0106978e+00 -1.1223477e+00
 -3.2204518e+00  1.1343100e+00 -1.9734579e+00  1.6220999e+00
 -1.0128638e+00  1.2345845e+00 -1.0770358e+00  2.7066228e+00
 -3.4820592e+00  1.0265539e+00  1.4444566e+00  2.6581511e-02
 -3.7299690e-01  2.3064435e+00  1.5810148e+00 -6.7325234e-03
 -7.4406266e-01 -2.7596085e+00  2.4226838e-01  1.9736270e+00
  4.1200489e-02  5.3859442e-01  2.3458128e+00  1.4953022e+00]",33.41426467895508,34.518646240234375,34.94292449951172,35.116092681884766,35.33119583129883,249,385,1,250,469,Joo_Min_Kyung.png,Jung_Eun_Chae.png,Kim_Hyun_Soo.png,Jeon_So_Nee.png,Kwon_Na_Ra.png
6,Lee_So_Yeon.png,"[ 1.8579184e+01 -1.0511912e+01  2.0950680e+00  5.3837385e+00
  5.9309945e+00 -1.1122261e+01 -1.3601136e+01  1.2421016e+00
 -5.5288692e+00 -3.6478434e+00 -6.7398458e+00  6.0810151e+00
  5.7450223e+00 -5.5161805e+00 -2.8120890e+00 -3.1022197e-01
 -1.9086169e+00  1.1986878e+00 -3.6337304e+00 -4.7894506e+00
  2.3474233e+00 -2.3622236e-01  1.0254986e+00 -1.0658109e+00
 -1.5600164e+00 -1.3685850e+00  8.2889915e-01  1.9652965e+00
  2.2536893e+00 -5.6502223e+00 -1.3348329e-01 -6.4511573e-01
  3.7233669e-01 -1.0984734e+00 -2.6468215e+00 -3.0308652e+00
 -4.3032601e-02 -1.8946692e-01  1.2930800e+00  3.0870717e+00
 -3.6180130e-01  6.0785347e-01 -2.8612130e+00 -3.6839314e+00
 -3.0379048e-01  2.9375544e+00 -1.7238510e+00  1.5796293e-02
  1.1562407e+00  2.5636762e-01 -1.6953026e+00  5.2406249e+00
 -7.2344196e-01  4.9676567e-01  7.4214655e-01 -2.1906510e-01
  6.8937051e-01  3.4943624e+00 -4.1700515e-01  7.8195167e-01
 -3.5779014e-01 -3.6538126e+00  5.2156967e-01 -3.0421209e+00
 -1.2515274e+00 -4.6478160e-02  1.0027984e+00  2.1370776e+00
 -1.3979622e+00  4.3223089e-01 -5.9178978e-01  2.8615019e+00
  2.9113452e+00 -1.0885291e+00  3.4480646e-01 -3.1768179e-01
 -1.4218097e+00 -2.6819643e-01 -1.9862667e-01 -2.2261226e+00
  6.0947895e-01 -7.2070527e-01 -1.9052823e+00  1.8152609e-01
  1.9310414e+00  2.4233025e-01  1.4486973e+00 -9.0222281e-01
 -2.6760507e-01 -2.0712008e+00  2.4416790e+00  1.9696531e+00
  6.4823633e-01 -5.3090847e-01 -1.3921182e+00  1.5800776e-01
  1.0183574e+00 -4.3026465e-01  5.1476270e-01 -3.5179567e-01]",26.251983642578125,30.519126892089844,32.79405212402344,33.317832946777344,34.100032806396484,155,352,83,369,210,Seo_Jung_Yeon.png,Jung_Ae_Yun.png,Kim_Mi_Sook.png,Choi_Soo_Rin.png,Bang_Min_Ah.png
7,Byun_Jung_Soo.png,"[  2.162074    14.722986     2.5063438    7.5670238   -7.2158556
  -4.028507     9.987872    -0.7993473  -10.331436     1.3851451
   2.539534     2.1120744   10.698573     4.481162     6.013868
  -3.3477664    1.9281704    6.010847     5.4316125   -1.7505091
  -0.7088708   -1.1579949   -0.2691695    5.01188      1.9764192
   4.790299    -5.422936    -2.1315172   -3.2373557   -1.345088
  -1.7339358   -3.5476792   -1.6135415    4.4944563    0.3206873
   3.6669912   -1.8052258   -6.9271536    0.66804075   1.4910566
   1.5525628   -0.5712947   -5.2056623    2.128025    -1.0961003
   1.6491036    1.0623488   -1.7298427    0.32198033   2.7529707
   1.786243    -2.7759004   -2.1738925    0.5535753   -1.5193977
  -0.55086577  -2.9728444    1.4343951    0.07014572  -4.173939
   1.8502496    2.3198261    0.7082294   -1.0812179   -3.0399408
   2.4176836    0.24006283  -3.0243886    0.0518676   -0.27872252
   3.4272847   -2.974137     2.8057096   -0.04271331  -1.3127619
   0.60502607  -3.346653    -1.617095     2.7554588   -2.3221684
   2.572823     0.89175117  -1.4540703   -0.33630013  -0.6024004
   0.35122257   2.2741697   -0.24494092   0.34838077  -0.8192601
   2.5012448    3.045505     2.8865154    0.5311789   -1.6432575
   0.39438158   1.3941053    0.16692826  -0.16033621  -3.708061  ]",34.28142166137695,34.768070220947266,37.598628997802734,37.609195709228516,38.297447204589844,296,320,314,250,459,Hong_Soo_Hyun.png,Jo_Mi_Ryung.png,Kim_Yun_Seo.png,Jeon_So_Nee.png,Lee_Yo_Won.png
8,Oh_Na_Ra.png,"[ -4.5789857   -0.37766838  -5.335677     4.15128     11.091619
  -8.390924   -12.885624     5.8783374   10.971788     5.2401137
   2.0841286   -8.015247     1.9970558    9.861899     8.8343935
   6.532241     0.6930632   -6.7624254   -4.989488     5.5656867
   0.9564655    1.5532393    2.6057396    0.3825339   -0.17892824
  -0.3465365    2.9834824   -2.1692448   -0.5773267    6.2364035
  -1.9226159    2.459383    -3.664855    -1.3743575    0.45142525
   2.251573     0.945496    -0.82212186   1.1822252    1.1164635
   1.8011401    3.3937533    0.8394003    1.1433748   -1.7077806
  -1.3792273    1.4839032   -3.5193105   -0.42849916   0.46287188
  -2.032928    -1.6942042    0.71569586   1.8155003    4.2493834
  -2.3597822    1.708814    -4.20596      0.5743193   -0.307152
   0.51216906  -3.0620942   -0.6645416    1.6130273   -0.11284567
  -1.5643868   -1.693426    -1.42524      0.25097555  -2.3020027
  -0.07200214   2.3997517   -0.14416267   0.28520674   2.2163157
  -1.4244317    0.8472994   -0.03895006  -1.9508499   -0.625689
   2.147437     0.07490423  -1.5856645    1.289806    -1.2087373
   2.5704842   -3.2740974   -2.1412022    0.09520451   2.4151626
   0.3869221    0.5511309    1.8756703    0.9583813    0.43426225
  -1.9143294   -1.0161861   -0.74137616   0.7556207   -0.5294998 ]",33.663307189941406,34.96295166015625,35.02959060668945,35.89374923706055,36.699127197265625,307,430,199,403,135,Roh_Jeong_Eui.png,Lee_Joo_Woo.png,Shin_Se_Kyung.png,Jang_Na_Ra.png,Lee_Seung_Yeon.png
9,Ha_Jae_Sook.png,"[  1.6566014    5.117028    14.136274     0.06656536  -2.1248655
  -5.5502286    8.904274    -2.7000535   -3.4848588   -5.573195
  -3.9775593    5.513866     2.9739842   -1.5536171   -3.088903
  -1.8406353    0.05181264  -2.82017      3.268402    -1.1537149
   2.8671658    4.8751044   -1.2980764   -3.4378712    4.0547056
   0.36755556   2.123321     2.4341104   -1.9494959   -3.2414677
   1.6262431   -3.7279673   -4.7154546   -1.8843867   -3.0243175
  -2.2297716    3.190317    -0.59740746   2.1667066  -10.083191
  -1.2284656    5.0247645    0.6834559    0.2211281    0.637695
   4.8786488   -0.26301312   2.442097     3.4449096   -2.8569536
   1.7300977   -2.7754617   -1.3596098    0.27002805   2.7429671
  -1.9821498   -0.55412984  -1.5219258    1.6484098   -0.25759384
  -1.2549866    0.32300556  -1.77025      1.6083261    1.0481365
   1.3955064   -2.9318914    0.6819468    2.057468     1.6285516
  -2.0581484   -1.2257805    0.57375145   1.380461     3.516846
  -1.242933    -0.42484963   0.08799282   0.11309935   0.20177633
  -1.4275005   -0.02174463   3.0920258    0.15977892  -1.0162687
  -0.3471483   -1.8642505   -1.6702075    1.4617628   -2.4216437
  -0.79059243  -1.1055472   -1.8380101   -2.0104985    0.41740513
  -1.6201614    0.02691439   1.4572808    0.85295033  -0.07256863]",31.167726516723633,31.52088165283203,32.01881408691406,32.50185775756836,32.66788864135742,245,186,220,326,277,Shin_Rin_Ah.png,Lee__Ha_Na_.png,Kim_Yoo_Jung.png,Yoo_Da_In.png,Kim_Yoo_Ri.png
