,Actor,Array,Least_Array_Diff,2ndLeast_Array_Diff,3rdLeast_Array_Diff,4thLeast_Array_Diff,5thLeast_Array_Diff,1stMatch,2ndMatch,3rdMatch,4thMatch,5thMatch,Best_Match_Actor,Second_Match_Actor,Third_Match_Actor,Fourth_Match_Actor,Fifth_Match_Actor
0,Park_Hae_Soo.png,"[-4.117684   -9.592239   -7.871775    1.1058365   5.1641855   4.068646
  8.857245    6.075376   -8.628299    7.500619    8.490868   -0.746574
  7.535375    1.424       3.1271615  -4.435749    2.1409383   2.357074
 -0.08353359  1.8660791  -3.6820078   6.48838     1.3201274  -0.9451957
  0.1001891   0.40318888 -2.7479167   7.0380497   5.1558437   1.0104094
  2.597317   -5.121636   -2.4225447   0.9487666   2.7827344  -2.3580527
 -1.5409752   3.05039    -1.0844706   2.648658    4.1342964   0.8826878
  0.81001186  1.5107691  -1.3215538  -0.93360144 -0.57638776 -5.2344856
  0.6601448   1.732518   -1.2057248  -1.0907246   2.5953574  -0.345987
  2.2580347   1.0881535  -1.9658955  -1.8751581   1.5552125  -1.2997589
 -0.3780705  -0.27423128 -2.674555    0.66701365 -1.3713564   0.77248865
  1.7554336  -0.19189909 -2.1256535   2.8960938   0.48711446 -1.378052
 -1.7703326   0.5328157  -0.607068    2.699819   -0.17440519 -0.91281307
 -0.11674795  1.0027297   0.6287236   0.7584435  -2.428515    0.04094424
 -0.17662638  1.2931672  -0.06879297 -0.6871029  -2.0094156  -1.327956
  1.2288448  -0.71338755  1.9083784   0.59205717  0.3380992   0.07659204
  0.27465826 -0.849811   -0.38731876  0.4843344 ]",30.71502113342285,30.96204376220703,33.22183609008789,35.25623321533203,35.511070251464844,73,399,175,488,406,Yeon_Jung_Hoon.png,Joo_Jin_Mo.png,Ahn_Nae_Sang.png,Ji_Hyun_Woo.png,Shin_Hyun_Soo.png
1,Lee_Jin_Wook.png,"[ 6.58996429e+01  1.54892235e+01 -1.07122049e+01 -1.48947039e+01
  6.40946865e+00  1.02137403e+01 -5.33330441e+00  5.90896606e+00
 -8.84556007e+00 -1.87729549e+00  2.39763236e+00  1.05691710e+01
  6.05460644e+00  4.51571894e+00 -6.27081203e+00 -7.76182413e+00
 -2.85181546e+00  1.98202705e+00  1.55276704e+00 -1.11159194e+00
  3.60772347e+00  3.22131562e+00  3.94020557e+00 -1.06955743e+00
  8.45861053e+00  1.72843814e+00  3.33210087e+00 -7.14987040e+00
 -1.06146965e+01  8.81507635e-01  3.21026206e+00  3.15673375e+00
  2.59850168e+00  1.61795640e+00 -5.49720049e+00  4.45953280e-01
 -1.66282701e+00 -6.96345091e-01  1.21775079e+00  4.36219406e+00
 -1.18630910e+00 -3.41998482e+00  5.53926182e+00 -5.92991924e+00
  8.06674004e+00  4.92181492e+00 -3.77947116e+00 -3.93554378e+00
  1.03923678e-02  2.70472097e+00 -1.51172674e+00  4.24550104e+00
  2.99344420e+00 -7.81244636e-02  1.84447682e+00 -1.08521509e+00
  1.52113116e+00 -1.35233855e+00  6.91939294e-01 -2.67390043e-01
 -4.12909150e-01  3.62207711e-01 -2.59511948e-01  1.23111653e+00
 -3.45960736e+00 -2.43436408e+00  1.84488714e-01 -1.89696932e+00
 -1.57635713e+00 -9.04476881e-01 -3.19989491e+00 -1.99425673e+00
 -1.03897929e+00  5.62892616e-01  3.63811553e-01  2.01345444e+00
  1.15968311e+00  2.06656694e+00  2.70695353e+00 -2.31945872e+00
 -1.12755942e+00 -9.11343634e-01  1.38543022e+00  1.16082728e+00
  4.18896735e-01 -5.32480001e-01  1.14372563e+00 -1.40890276e+00
  9.08168972e-01 -6.09302998e-01 -1.60753950e-01 -7.90752411e-01
 -7.78525829e-01 -3.02008605e+00 -2.95101500e+00  1.64800882e+00
 -1.43462610e+00  8.50706279e-01 -6.64920747e-01 -6.15620017e-01]",39.949092864990234,44.08457946777344,47.69871520996094,48.78059005737305,49.159027099609375,519,390,365,141,37,Kim_Sang_Joong.png,Lee_Bum_Soo.png,Kim_Myung_Min.png,Hong_Kyung_Min.png,Lee_Ji_Hoon.png
2,Kang_Min_Hyuk.png,"[-1.2266893e+01 -7.2090816e+00  1.4790905e+00  9.8934355e+00
  1.5938983e+01  6.7335286e+00 -2.3386717e+00  7.1644211e+00
  5.9448795e+00  6.8815827e+00  4.7232437e-01  7.5769675e-01
  1.9056208e-01 -1.1227728e+00  1.0000174e+01  2.7776930e+00
 -1.1267021e-01 -4.3147736e+00  4.4041691e+00 -2.2880712e+00
 -1.5502814e+00 -3.7878118e+00  2.5120559e+00  1.6805642e+00
  6.6140542e+00 -7.7705699e-01  4.9284276e-01  4.7831135e+00
 -1.5038224e+00  1.8762459e+00 -3.1961894e-01  2.8441257e+00
  2.1580129e+00 -4.6760345e-01  1.0974672e+00  2.7539891e-01
 -6.0775101e-01  7.8521872e-01  3.6110013e+00 -1.0246670e+00
  1.8999733e+00 -1.1490774e+00 -9.3621254e-02  4.7441694e-01
  1.0025668e+00 -1.2225437e+00 -1.0572430e+00 -5.0318885e+00
  5.2606165e-02 -1.8721904e+00  9.7811860e-01 -3.0062175e+00
 -2.4574597e+00 -2.7908788e+00  7.7926964e-03  1.0488344e+00
  4.8716578e-01  1.0163423e+00 -1.2653379e-01 -9.6044481e-01
 -3.1169388e+00  1.7420199e+00 -2.2259805e+00  1.9463500e+00
 -8.9956224e-01  1.7508738e+00  2.2603823e-01  7.8580141e-02
 -9.8293793e-01 -9.4535410e-01  1.6693738e-01  8.7646270e-01
  3.3763719e+00 -2.7921524e+00 -1.7649614e+00 -1.8960490e+00
 -7.7699846e-01 -9.7095990e-01  1.0505595e+00  2.0378435e+00
  1.8646910e+00  2.3419017e-01  1.1154604e+00 -3.0152438e+00
  2.7310526e-01 -1.9269677e+00  2.3208490e-01  3.4314594e-01
  1.1480666e+00  2.0172253e+00 -1.7796382e+00 -1.5171611e+00
 -1.5168711e+00  2.7579103e+00  3.2488781e-01 -3.1431258e-01
 -1.1097801e+00  6.3113916e-01 -4.9207756e-01  4.9431264e-02]",26.38979721069336,30.042631149291992,30.0683536529541,31.712766647338867,31.934316635131836,276,112,314,216,351,Lee_Jung_Jin.png,Lee_Jun_Ho.png,Yoo_Yeon_Seok.png,Kim_Jung_Hyun.png,Lee_Seung_Min.png
3,Yoon_Park.png,"[-1.85314350e+01  2.26892805e+00 -6.47322369e+00 -1.75517941e+00
  1.63007717e+01 -2.22905064e+00  1.59051073e+00 -3.49397302e+00
 -1.77160320e+01  6.46566916e+00 -1.06387510e+01  7.31312394e-01
 -8.09527338e-02  4.41892624e+00  2.47937822e+00  2.00808287e+00
  8.76765823e+00 -1.01880083e+01  5.35802078e+00  9.75611401e+00
 -4.84392834e+00  4.94527197e+00  1.26587319e+00 -1.98577178e+00
  9.70216691e-02 -3.30688715e-01  3.96741748e+00 -4.02455616e+00
 -1.56876552e+00  1.33267894e-01 -1.92730808e+00  6.40611529e-01
 -1.43422738e-01 -3.38106680e+00  3.14524412e+00 -4.09235209e-01
 -3.24521208e+00 -3.99818921e+00 -9.25852776e-01  5.75558305e-01
 -1.98772609e-01 -1.00706804e+00  3.90710497e+00  4.50061411e-01
 -3.68050361e+00 -9.61554706e-01 -4.94477272e-01 -3.72331977e-01
  8.24639201e-03  1.37529230e+00 -1.58146048e+00  1.08427668e+00
 -9.62339342e-03  1.80760086e+00  7.25462437e-01  4.68708158e-01
 -6.98646307e-01 -1.93690288e+00  1.51494026e+00  2.85569012e-01
 -1.03870952e+00 -1.68499136e+00 -2.08805585e+00  5.27485609e-01
 -4.21949208e-01  1.15957594e+00  6.65378273e-01  1.56698227e+00
  1.45374238e+00 -2.31928974e-02  1.84475732e+00  1.10762216e-01
  2.52215028e-01 -2.34314299e+00 -2.00034356e+00  1.40072733e-01
 -2.44122767e+00 -3.73332947e-02  4.95266104e+00 -1.68460310e-01
  1.09635234e+00 -3.63642550e+00  3.27638000e-01  2.57424736e+00
 -7.36501813e-01  1.06785583e+00  6.35169297e-02  3.27476352e-01
 -2.39360237e+00 -1.78288937e-01 -5.11305451e-01 -5.59819281e-01
  2.18176198e+00  4.55857009e-01  1.99791288e+00  9.24137682e-02
 -1.37557626e+00  3.12026906e+00 -9.27290261e-01 -6.59705162e-01]",30.235328674316406,32.93711471557617,33.25022888183594,35.05842971801758,35.874107360839844,379,242,383,95,152,Ohn_Joo_Wan.png,Hoya.png,Choi_Byung_Mo.png,Hong_Jong_Hyun.png,Lee_Gi_Kwang.png
4,Joo_Won.png,"[ -2.5595207   15.16615     -0.14534593  -0.7223856    8.947099
   0.5850371   -3.3032377   -2.7759125    3.9912071   -2.0958726
 -11.383687    -6.3118      -3.526794     1.6495044   -1.7725639
  -4.3302517    7.770572     3.20535      1.4263252   -3.900689
   1.6564986    0.69238776   0.7052644    0.7125824    1.6686231
   0.47876766  -0.14285477   1.6970927    1.2540379   -3.6591399
   0.59528875  -1.2136075   -2.4842658   -1.3068484   -1.4139729
  -2.3232405   -1.1978811   -0.46545708  -0.9125357    1.1839119
  -1.5776334    1.1218308    2.1965039    0.6728866    0.09054209
  -1.9024793   -0.60882777   0.5857599   -0.03543532   0.5325595
   2.3537736   -1.3065429    1.3037426   -1.3500273    1.1078869
   1.5599444    0.5888803    2.16209     -0.96490705  -0.5598446
  -0.34059516  -1.6371927   -1.3487692    0.35597178  -1.1416917
   0.57752496  -0.9757629   -0.5986857   -0.87121785   0.46347883
   0.612363    -1.9245825   -0.03496245   0.6345272    1.2086157
   0.3124637   -0.59742683   0.19460563   1.1405106   -0.35433286
   1.2941453    0.7912631   -0.0963816    0.11446536   0.05855682
  -0.40769047   1.8767197   -0.09535534   2.1204302    0.9869794
   0.18761674  -1.6289309    1.0584738   -0.66342735  -0.17310013
  -0.12833275   1.058635     0.5234216    1.2183628    0.38943267]",22.880952835083008,25.406965255737305,27.186725616455078,27.30768585205078,27.335983276367188,199,243,567,535,449,Kim_Seon_Ho.png,Lee_Dong_Wook.png,Kwon_Yool.png,Yoon_Shi_Yoon.png,Noh_Jong_Hyun.png
5,Yoo_Dong_Geun.png,"[ 2.7001831e+01 -1.0418380e+01 -2.2465372e+00 -1.4702238e+00
  9.4260778e+00 -1.2030365e+01  1.0426984e+01  5.1244292e+00
  4.0915947e+00  2.7677162e+00  4.2507377e+00  3.1784680e+00
  6.0586815e+00  5.9660540e+00 -5.9992332e+00 -4.0131650e+00
 -6.1027503e+00 -3.4572706e+00 -1.6036769e+00 -1.2056081e+00
 -8.2378173e-01 -1.9608135e+00  3.6692214e-01 -7.6205525e+00
 -4.1358587e-01  8.6008072e-01 -3.1380429e+00 -1.6517458e+00
  9.8060340e-01 -2.6449975e-01 -1.5278027e+00 -1.7843795e+00
  3.3167977e+00 -3.4695223e-01 -3.0903205e-01  6.0222888e-01
  8.9404565e-01  4.8462281e+00 -1.0389757e+00  3.1292460e+00
 -1.0166126e+00  2.5414052e+00 -2.4372189e+00 -1.2840724e-01
 -2.6688538e+00  2.6552114e+00 -2.3493400e+00  1.2956221e-01
 -1.4660267e+00 -2.4096451e+00 -8.1891990e-01  8.3881760e-01
  9.4247185e-02 -3.4969854e-01  9.2436755e-01 -2.0759506e+00
  3.2669902e+00  2.6554200e-01  1.0803614e+00 -2.9679608e+00
  4.1030985e-01  9.7857428e-01 -3.2313802e+00  7.2446865e-01
 -1.3053446e+00  1.4973183e+00 -6.1352062e-01  1.3532805e+00
  2.6310596e+00  3.0898314e+00 -1.4448066e+00 -1.8081679e+00
  3.1170166e-01  2.0392079e-02  1.0429215e+00 -1.9680237e+00
 -9.3604493e-01  2.5742888e-01 -5.8374703e-01  9.3711585e-02
  1.9130548e+00 -6.2454557e-01 -3.8607368e-01  3.7504017e-02
  1.4093386e+00 -2.4011153e-01  3.0677614e+00  1.9298203e+00
  1.2826021e+00  9.5667648e-01  1.9346446e+00 -1.1313487e+00
  1.4523715e+00 -1.1945140e+00 -1.3184785e+00 -1.6356878e+00
 -5.1697505e-01  1.7937315e+00 -6.9947052e-01 -1.1128981e+00]",26.728879928588867,27.248910903930664,28.644208908081055,28.904455184936523,30.02384376525879,98,489,358,335,487,Son_Jong_Hak.png,Jung_Joon_Ho.png,Kim_Yeong_Cheol.png,Chun_Ho_Jin.png,Lee_Seo_Jin.png
6,Choi_Il_Hwa.png,"[ 3.1406382e+01 -7.4088941e+00 -2.7350283e+00  9.7310028e+00
  2.6859694e+00 -3.7857203e+00  1.5540274e+00  2.1370776e+00
  3.1563025e+00  1.8400464e+00  1.4321930e+00  4.5407972e+00
 -2.8634415e+00 -2.2202935e+00 -4.6141486e+00 -3.9674610e-01
  4.8632500e-01 -8.2170000e+00  1.2521687e+00 -2.0324438e+00
 -8.8121569e-01 -2.1182611e+00  2.5022190e+00 -2.5630844e+00
  9.3191016e-01  3.2530308e-01  4.1154292e-01 -1.0948509e+00
 -2.8473537e+00 -8.0813736e-01  2.0937138e+00 -1.2117707e+00
  2.0497233e-02  6.8706954e-01  1.0188310e+00  1.4880720e-01
  1.0906661e+00  1.1281365e+00  1.0827351e+00 -7.6653503e-02
  2.4338591e+00  2.6105814e+00 -4.2916369e-01 -5.8069336e-01
 -2.3966587e+00 -1.5584526e+00 -3.2016331e-01 -7.0115930e-01
  6.3173205e-01  3.1979208e+00  2.8649348e-01  1.6875439e+00
  8.4593135e-01 -4.5343059e-01 -5.0048962e-02 -1.1836216e-01
  6.1663878e-01  1.0975318e+00 -8.7024438e-01  9.8881578e-01
  8.1576169e-01  3.5826302e-01  2.7257786e+00  2.5166523e-01
  8.0554193e-01  9.1840255e-01 -2.6384658e-01  7.4561149e-02
  5.1894772e-01 -1.2614124e+00  1.7519563e-01  9.7210002e-01
 -1.9293489e-01 -1.7358191e+00 -1.3158277e-01 -7.6294935e-01
 -1.4043599e+00  1.4033526e-01  3.9655730e-01 -9.3599546e-01
  1.0289531e+00  2.9379725e-02 -3.8967770e-01 -4.4176525e-01
 -1.1812379e+00  1.0848114e+00  1.9626999e-01 -4.0178889e-01
  1.3503890e+00  1.4254138e-02 -1.3656735e-01  1.6637039e+00
  9.1678977e-01 -1.2193741e+00  5.5829167e-01 -4.0906519e-01
  4.8478007e-02  5.1251841e-01  6.6967988e-01 -4.9901074e-01]",19.322668075561523,24.032930374145508,24.239356994628906,24.248380661010742,25.283246994018555,43,192,98,494,345,Kim_Ha_Kyun.png,Choi_Kwang_Il.png,Son_Jong_Hak.png,Ryu_Soo_Young.png,Choi_Jong_Hwan.png
7,Jang_Seung_Jo.png,"[ 1.86587772e+01  2.40815487e+01 -6.45654011e+00 -6.39937258e+00
 -1.97781157e+00 -6.54946232e+00  2.24916530e+00 -9.93308258e+00
 -7.47902536e+00 -4.57152271e+00 -5.10537577e+00 -1.62851477e+00
 -1.25467265e+00  4.75390244e+00 -2.37892675e+00 -3.33317518e+00
 -1.69615006e+00  7.71316910e+00  6.82421303e+00 -3.89924121e+00
  2.46529007e+00 -1.49724293e+00 -2.37034893e+00 -1.46103179e+00
 -1.86430860e+00 -1.84996390e+00 -2.56589556e+00  1.89094567e+00
  2.37670803e+00 -5.11912704e-01  5.96117163e+00  4.24785376e+00
  3.94057751e+00  9.55222487e-01  7.62226522e-01  1.58542740e+00
 -3.71549320e+00 -3.61675239e+00  1.11863959e+00  8.11246037e-01
 -1.00469732e+00  1.48635626e+00  3.86005223e-01  1.19612835e-01
  1.72326660e+00 -1.42500365e+00  2.45425463e+00  1.89516282e+00
 -1.13741827e+00 -1.99808669e+00 -1.66704237e+00 -5.10545313e-01
 -2.32151365e+00 -5.41593432e-01 -3.67011213e+00 -1.19099021e+00
  1.07838380e+00  1.37381446e+00  1.55508852e+00  3.04738700e-01
 -6.77887797e-01 -1.06034839e+00 -1.43651283e+00  1.48259676e+00
  6.68403745e-01 -1.40491855e+00  1.72953498e+00 -1.77782166e+00
 -9.11341429e-01 -8.06987286e-01 -2.09356594e+00 -1.49398625e-01
  5.08550584e-01  1.22451401e+00 -4.48760986e+00  4.25395399e-01
  7.17040539e-01  2.08367085e+00 -4.81714487e-01 -6.02078080e-01
  1.91082394e+00 -9.17901993e-01  2.87212431e-01  9.49412465e-01
  2.80816615e-01 -1.60033488e+00  7.71977752e-02  3.67899835e-02
 -1.20535064e+00  8.63747895e-01  1.23087668e+00  4.44397330e-03
 -1.20614171e+00  5.90044677e-01  5.44877797e-02  9.35169935e-01
 -8.35937142e-01  8.78596485e-01 -8.09956193e-01 -2.12164879e-01]",29.87065887451172,32.75026321411133,32.83835983276367,33.16596984863281,34.22262191772461,135,372,298,426,331,U-Know.png,Lee_Dong_Hae.png,Jeon_Jae_Yeong.png,Kim_Dae_Myung.png,Gong_Yoo.png
8,Jackson_Wang.png,"[ -6.661442    -7.4096084   -3.9362478   -1.2952724    2.6348655
  -8.93473     -3.2429726  -11.168436     3.6234405   -3.598719
  -3.5948052   -6.5401692   -1.0098999   -6.6563597   -2.9998116
  -0.38681397  -2.9648128    4.4831996    5.0433745    0.5984606
  -7.1926355    3.3975434    0.45770317  -2.2538645    0.05180936
   2.2545645    3.9275715   -0.03192508  -2.175678    -0.6127899
  -2.4967082   -2.9195483   -4.47696      0.3680492    2.2988305
   1.0747032    0.31252164  -0.03912326  -3.3832943   -1.8744558
   0.07824394  -2.8279428   -5.4435062   -0.5123004    1.2955267
   4.387837    -2.9366763    0.50229704   2.72214     -3.2437232
  -5.323078    -1.7421514    0.8527582    0.6556008   -0.484379
   0.5645003    1.0830222   -0.15604262   0.6316326    0.10763976
  -3.707127     1.169825     1.3006681   -4.2608876   -0.64911807
   1.3855243   -2.116989    -0.4861346   -0.02262548  -0.74124354
   0.97741747  -0.11377706  -1.1999959   -0.0597042    3.370036
   4.199649     1.2381175   -1.5684016   -2.1227748    0.02214205
   3.3055108   -0.93117386  -1.031558     0.605921     1.4571278
   0.48057604  -0.44117635  -2.1982906    3.5659318    1.5487907
   1.185967     0.8996523   -2.44481      0.65671086   1.2362015
   0.34878838  -0.5558536   -0.3724792   -0.4851823   -0.75736266]",31.783700942993164,32.12548828125,32.39577102661133,33.05551528930664,33.08457565307617,115,189,491,514,440,Kim_Tae_Hoon.png,Jo_Dong_Hyuk.png,Lee_Sun_Kyun.png,Choi_Ro_Woon.png,Kim_Jae_Wook.png
9,Shin_Dong_Woo.png,"[-10.403284   -10.557954    13.129931     3.034058     8.862817
  -5.394919     4.601357     6.7594194   -5.1105237   -5.516142
   1.1727345    2.2686846    2.1018474    3.7195003   -9.531065
   9.169942     1.3727204    8.145493     0.1321469    5.667799
   2.5172977   -8.159059    12.642981    -3.5348184    2.0431292
   1.9289272    4.6695147    6.781636    -7.015962    -3.188349
   0.30589962   6.50492     -4.751777     3.1025977    4.1663566
  -2.5879028    0.16813713  -3.0052774   -1.6909437   -0.5528799
   8.66404     -2.42243      1.0080409    4.811851     0.2996089
   3.025386     2.6398253    2.1162055    6.1888485   -1.969152
  -8.023378    -5.051898     5.1714253   -0.54787755   4.874464
   1.091254     6.2467656    2.4485145   -2.0548434    1.3614624
   2.933592     1.0075583    0.6647506   -0.9175831   -3.6773462
  -1.6454529   -0.8015366   -1.6734114   -3.6002438    1.6598138
  -1.5940471   -0.92396563   1.5670536   -3.0467448   -0.41865766
   2.2428868   -0.59813833   1.9757794   -0.3989811    0.6258402
  -4.2266917   -1.1543511   -1.7394093    1.1443797   -3.536347
   2.6886292   -2.535059     3.4616532    0.34088776  -1.3621135
  -1.2431922   -1.2113874   -1.0667716   -1.4539056   -1.7282901
   2.2865512    3.9140322    4.4642086    0.16317967  -0.11121099]",43.04621887207031,43.98588180541992,44.42498016357422,45.46700668334961,45.643341064453125,64,304,176,213,189,Park_Geon_Rak.png,Ji_Jin_Hee.png,Kang_Ji_Hwan.png,Jo_In_Sung.png,Jo_Dong_Hyuk.png
