Title,CharName,Role,ActorName,Gender,Image
I Hear Your Voice,Shin Sang Duk,Support Role,Yoon Joo Sang,Male,https://i.mydramalist.com/oQ4dxc.jpg
Secret Garden,Lee Ji Hyun [Psychologist],Support Role,Yoo Seo Jin,Female,https://i.mydramalist.com/QdNv5c.jpg
"Kill Me, Heal Me",Han Chae Yun,Main Role,Kim Yoo Ri,Female,https://i.mydramalist.com/XNLkd_5c.jpg
Weightlifting Fairy Kim Bok Joo,Kim Bok Joo,Main Role,Lee Sung Kyung,Female,https://i.mydramalist.com/R4RX6_5c.jpg
"Kill Me, Heal Me",Seo Tae Im [Do Hyun's grandmother],Support Role,Kim Young Ae,Female,https://i.mydramalist.com/1LRNyc.jpg
Secret Garden,Yoon Seul,Main Role,Kim Sa Rang,Female,https://i.mydramalist.com/2gqx2c.jpg
W,Yoon Soo Hee [Kang Chul's secretary],Support Role,Jung Yoo Jin,Female,https://i.mydramalist.com/qRbJQ_5c.jpg
I Hear Your Voice,Min Joon Kook,Support Role,Jung Woong In,Male,https://i.mydramalist.com/EPWJzc.jpg
I Hear Your Voice,Seo Do Yeon,Main Role,Lee Da Hee,Female,https://i.mydramalist.com/Xyp0q_5c.jpg
The Legend of the Blue Sea,Cha Shi Ah,Support Role,Shin Hye Sun,Female,https://i.mydramalist.com/q5VbB_5c.jpg
The Legend of the Blue Sea,Ahn Jin Joo,Support Role,Moon So Ri,Female,https://i.mydramalist.com/wA78nc.jpg
"Kill Me, Heal Me",Cha Gi Joon,Main Role,Oh Min Suk,Male,https://i.mydramalist.com/WB6zWc.jpg
Secret Garden,Im Jong Soo,Support Role,Lee Phillip,Male,https://i.mydramalist.com/3okbVc.jpg
Weightlifting Fairy Kim Bok Joo,Lee Sun Ok [Bok Joo's best friend],Support Role,Lee Joo Young,Female,https://i.mydramalist.com/0lA54_5c.jpg
W,Park Soo Bong [Sung Moo's subordinate],Support Role,Lee Si Eon,Male,https://i.mydramalist.com/kWqmdc.jpg
You Who Came from the Stars,Lee Jae Kyung [Hee Kyung's brother],Support Role,Shin Sung Rok,Male,https://i.mydramalist.com/44Rndc.jpg
You Who Came from the Stars,Yoo Se Mi,Main Role,Yoo In Na,Female,https://i.mydramalist.com/kW6rwc.jpg
You Who Came from the Stars,Jang Young Mok [Min Joon's friend],Support Role,Kim Chang Wan,Male,https://i.mydramalist.com/YYxXdc.jpg
She Was Pretty,Cha Joo Young [Fashion Director],Support Role,Shin Dong Mi,Female,https://i.mydramalist.com/RQlbY_5c.jpg
She Was Pretty,Kim Pung Ho [Features Director],Support Role,Ahn Se Ha,Male,https://i.mydramalist.com/XODjZ_5c.jpg
She Was Pretty,Kim Shin Hyuk,Main Role,Choi Shi Won,Male,https://i.mydramalist.com/pjkLDc.jpg
Itaewon Class,Jang Geun Soo [Dae Hee's 2nd son / DanBam part-timer],Support Role,Kim Dong Hee,Male,https://i.mydramalist.com/eoOeKc.jpg
Itaewon Class,Jang Geun Won [Dae Hee's 1st son / Jangga's successor],Support Role,Ahn Bo Hyun,Male,https://i.mydramalist.com/EoxeQ_5c.jpg
Because This is My First Life,Yang Ho Rang,Main Role,Kim Ga Eun,Female,https://i.mydramalist.com/l01bvc.jpg
Because This is My First Life,Woo Soo Ji,Main Role,Esom,Female,https://i.mydramalist.com/18ED5_5c.jpg
Because This is My First Life,Shim Won Seok,Main Role,Kim Min Seok,Male,https://i.mydramalist.com/r5ynD_5c.jpg
Cinderella and the Four Knights,Lee Yoon Sung,Main Role,Choi Min Sung,Male,https://i.mydramalist.com/RA2yzc.jpg
Reply 1997,Bang Sung Jae,Main Role,Lee Si Eon,Male,https://i.mydramalist.com/kWqmdc.jpg
Because This is My First Life,Ma Sang Goo,Main Role,Park Byung Eun,Male,https://i.mydramalist.com/jxgWB_5c.jpg
Cinderella and the Four Knights,Park Hye Ji,Main Role,Son Na Eun,Female,https://i.mydramalist.com/WlyZl_5c.jpg
Playful Kiss,Yoon He Ra [Ha Ni's love rival],Support Role,Lee Shi Young,Female,https://i.mydramalist.com/rggJm_5c.jpg
Playful Kiss,Dok Go Min Ah [Ha Ni's friend],Support Role,Yoon Seung Ah,Female,https://i.mydramalist.com/mO8nJc.jpg
My ID Is Gangnam Beauty,Do Sang Won [Kyung Suk's father],Support Role,Park Sung Geun,Male,https://i.mydramalist.com/k3JNm_5c.jpg
Hwarang,Park Ban Ryu,Support Role,Do Ji Han,Male,https://i.mydramalist.com/1gbkzc.jpg
Oh My Venus,Kim Ji Woong [Joon Sung's manager],Support Role,Henry Lau,Male,https://i.mydramalist.com/Q0Ly7c.jpg
