Title,Info,Ratings,URL
Goblin,"Korean Drama - 2016, 16 episodes",8.9,"<a href=""/18452-goblin"">Goblin</a>"
Strong Woman Do Bong Soon,"Korean Drama - 2017, 16 episodes",8.7,"<a href=""/18894-strong-woman-do-bong-soon"">Strong Woman Do Bong Soon</a>"
Descendants of the Sun,"Korean Drama - 2016, 16 episodes",8.7,"<a href=""/10904-descendants-of-the-sun"">Descendants of the Sun</a>"
W,"Korean Drama - 2016, 16 episodes",8.5,"<a href=""/16589-w"">W</a>"
You Who Came from the Stars,"Korean Drama - 2013, 21 episodes",8.6,"<a href=""/7398-you-who-came-from-the-stars"">You Who Came from the Stars</a>"
Weightlifting Fairy Kim Bok Joo,"Korean Drama - 2016, 16 episodes",8.8,"<a href=""/19262-weightlifting-fairy-kim-bok-joo"">Weightlifting Fairy Kim Bok Joo</a>"
The Heirs,"Korean Drama - 2013, 20 episodes",7.5,"<a href=""/6640-the-heirs"">The Heirs</a>"
Pinocchio,"Korean Drama - 2014, 20 episodes",8.4,"<a href=""/11074-pinocchio"">Pinocchio</a>"
Healer,"Korean Drama - 2014, 20 episodes",8.9,"<a href=""/10814-healer"">Healer</a>"
What's Wrong with Secretary Kim,"Korean Drama - 2018, 16 episodes",8.5,"<a href=""/27885-why-secretary-kim"">What's Wrong with Secretary Kim</a>"
While You Were Sleeping,"Korean Drama - 2017, 32 episodes",8.7,"<a href=""/21576-while-you-were-sleeping"">While You Were Sleeping</a>"
Moon Lovers: Scarlet Heart Ryeo,"Korean Drama - 2016, 20 episodes",8.6,"<a href=""/15999-moon-lovers-scarlet-heart-ryeo"">Moon Lovers: Scarlet Heart Ryeo</a>"
Secret Garden,"Korean Drama - 2010, 20 episodes",8.3,"<a href=""/8-secret-garden-2010"">Secret Garden</a>"
"Kill Me, Heal Me","Korean Drama - 2015, 20 episodes",8.7,"<a href=""/10873-kill-me-heal-me"">Kill Me, Heal Me</a>"
The Legend of the Blue Sea,"Korean Drama - 2016, 20 episodes",8.4,"<a href=""/18816-the-legend-of-the-blue-sea"">The Legend of the Blue Sea</a>"
Crash Landing on You,"Korean Drama - 2019, 16 episodes",8.9,"<a href=""/35729-emergency-lands-of-love"">Crash Landing on You</a>"
City Hunter,"Korean Drama - 2011, 20 episodes",8.4,"<a href=""/1702-city-hunter-2011"">City Hunter</a>"
I Hear Your Voice,"Korean Drama - 2013, 18 episodes",8.6,"<a href=""/6993-i-hear-your-voice"">I Hear Your Voice</a>"
She Was Pretty,"Korean Drama - 2015, 16 episodes",8.1,"<a href=""/15055-she-was-pretty"">She Was Pretty</a>"
I'm Not a Robot,"Korean Drama - 2017, 32 episodes",8.5,"<a href=""/24351-im-not-a-robot"">I'm Not a Robot</a>"
Cheese in the Trap,"Korean Drama - 2016, 16 episodes",7.6,"<a href=""/14457-cheese-in-the-trap"">Cheese in the Trap</a>"
Fight For My Way,"Korean Drama - 2017, 16 episodes",8.5,"<a href=""/22472-fight-for-my-way"">Fight For My Way</a>"
Hotel del Luna,"Korean Drama - 2019, 16 episodes",8.7,"<a href=""/32925-hotel-del-luna"">Hotel del Luna</a>"
The Master's Sun,"Korean Drama - 2013, 17 episodes",8.6,"<a href=""/6756-the-masters-sun"">The Master's Sun</a>"
It's Okay to Not Be Okay,"Korean Drama - 2020, 16 episodes",9.1,"<a href=""/49865-psycho-but-it-s-okay"">It's Okay to Not Be Okay</a>"
Suspicious Partner,"Korean Drama - 2017, 40 episodes",8.3,"<a href=""/22602-suspicious-partner"">Suspicious Partner</a>"
"It's Okay, That's Love","Korean Drama - 2014, 16 episodes",8.7,"<a href=""/9289-its-okay-thats-love"">It's Okay, That's Love</a>"
Oh My Ghostess,"Korean Drama - 2015, 16 episodes",8.4,"<a href=""/14213-oh-my-ghostess"">Oh My Ghostess</a>"
Playful Kiss,"Korean Drama - 2010, 16 episodes",7.3,"<a href=""/20-playful-kiss"">Playful Kiss</a>"
Dream High,"Korean Drama - 2011, 16 episodes",8.0,"<a href=""/79-dream-high"">Dream High</a>"
Cinderella and the Four Knights,"Korean Drama - 2016, 16 episodes",7.8,"<a href=""/16119-cinderella-and-the-four-knights"">Cinderella and the Four Knights</a>"
Oh My Venus,"Korean Drama - 2015, 16 episodes",8.3,"<a href=""/15062-oh-my-venus"">Oh My Venus</a>"
Reply 1997,"Korean Drama - 2012, 16 episodes",8.6,"<a href=""/4689-reply-1997"">Reply 1997</a>"
