,Unnamed: 0,Title,Ratings,Ranked,Popularity,Actor 1,Name,Info,Info1,Info2,Info3,Info4,Info5,Info6,Image
0,0,100 Days My Prince,8.3, #354, #160,Do Kyung Soo,Do Kyung Soo, Do, 도경수, 도경수;Kyungsoo;Do Kyeong Su;Do Kyeong Soo;Do Kyungsoo;Do Kyung Soo;Doh Kyungsoo;경수;D.O.;디오;Do Gyeong Su;Doh Kyung Soo, South Korean, Male," January 12, 1993", 28,https://i.mydramalist.com/43e46c.jpg
1,1,100 Days My Prince,8.3, #354, #160,Nam Ji Hyun,Nam Ji Hyun, Nam, 남지현, Nam Ji Hyeon;Nam Ji Hyun;Ji Hyun;Jihyun, South Korean, Female," September 17, 1995", 25,https://i.mydramalist.com/wlJ8Yc.jpg
2,2,109 Strange Things,6.8, #4530, #2377,Choi  Tae Joon,Choi  Tae Joon, Choi, 최태준, Choi Tae Jun;Tae Jun, South Korean, Male," July  7, 1991", 29,https://i.mydramalist.com/jbRmJ_5c.jpg
3,3,109 Strange Things,6.8, #4530, #2377,Jung Chae Yeon,Jung Chae Yeon, Jung, 정채연, Jeong Chae Yeon;Chaeyeon;Jung Chae Yun, South Korean, Female," December  1, 1997", 23,https://i.mydramalist.com/e3AQec.jpg
4,4,18 Again,8.8, #44, #287,Yoon Sang Hyun,Yoon Sang Hyun, Yoon, 윤상현, Yun Sang Hyeon;, South Korean, Male," September 21, 1973", 47,https://i.mydramalist.com/dxN6W_5c.jpg
5,5,18 Again,8.8, #44, #287,Kim Ha Neul,Kim Ha Neul, Kim, 김하늘, South Korean, Female," February 21, 1978", 43,,https://i.mydramalist.com/Qy7kW_5c.jpg
6,6,20th Century Boy and Girl,7.8, #1516, #804,Han Ye Seul,Han Ye Seul, Kim, 한예슬, Gim Ye Seu Ri; Gim Yeseuri; Leslie Kim; , South Korean, Female," September 18, 1981", 39,https://i.mydramalist.com/jZQdJ_5c.jpg
7,7,20th Century Boy and Girl,7.8, #1516, #804,Kim Ji Suk,Kim Ji Suk, Kim, 김지석, Kim Ji Seok;김보석;Kim Bo Seok, South Korean, Male," April 21, 1981", 39,https://i.mydramalist.com/w2Nj8c.jpg
8,8,21st Century Family,7.4, #33279, #5227,Oh Yoon Ah,Oh Yoon Ah, Oh, 오윤아, Oh Yun Ah, South Korean, Female," October 14, 1980", 40,https://i.mydramalist.com/RZOwEc.jpg
9,9,21st Century Family,7.4, #33279, #5227,Lee Deok Hwa,Lee Deok Hwa, Lee, 이덕화, Yi Deok Hwa;Lee Duk Hwa, South Korean, Male," May  8, 1952", 68,https://i.mydramalist.com/R3KXEc.jpg
10,10,22 Flower Road,7.8, #6019, Not Yet Rated,Kang Yul,Kang Yul, Kang, 강율, Kang Yeol;Yul;Yool;Yeol;Kang Yool, South Korean, Male," July  9, 1993", 27,https://i.mydramalist.com/vqBQ2c.jpg
11,11,22 Flower Road,7.8, #6019, Not Yet Rated,Kim Ye Eun,Kim Ye Eun, Kim, 김예은, Kim Ye Eun, South Korean, Female," October 16, 1996", 24,https://i.mydramalist.com/4kpOdc.jpg
12,12,29gram,7.2, #36657, #7382,Lee Il Hyun,Lee Il Hyun, Lee, 이일현, Lee Il Hyeon, South Korean, Female," March 24, ????",,https://i.mydramalist.com/8Y4JKc.jpg
13,13,29gram,7.2, #36657, #7382,Song Ji Hyo,Song Ji Hyo, Chun, 송지효, 천성임;Cheon Seong Im;Cheon Soo yeon;madame Gurrie;Mong ji, South Korean, Female," August 15, 1981", 39,https://i.mydramalist.com/xYozyc.jpg
14,14,"380,000 km Between You and Me",7.9, #28054, #99999,Choi Sang Bae,Choi Sang Bae, Choi, 최상배, South Korean, Male,,,,https://i.mydramalist.com/vO0dZc.jpg
15,15,"380,000 km Between You and Me",7.9, #28054, #99999,Kwon Sun Hyung,Kwon Sun Hyung, Kwon, 권선형, Kwon Seon Hyeong;Gwon Seon Hyeong, South Korean, Female,,,https://i.mydramalist.com/d4EVWc.jpg
16,16,4 Kinds of House,7.5, #2775, #3563,Lee Jae Jin,Lee Jae Jin, Lee, 이재진, South Korean, Male," December 17, 1991", 29,,https://i.mydramalist.com/vyELDc.jpg
17,17,4 Kinds of House,7.5, #2775, #3563,Zuny,Zuny, Kim, 김주미, Zuni;주니;Ju Ni;Kim Ju Mi, South Korean, Female," December  8, 1994", 26,https://i.mydramalist.com/2xV3wc.jpg
18,18,4 Reasons Why I Hate Christmas,7.6, #2533, #3265,Park Shi An,Park Shi An, Park, 박시안, Park Sian;Park Si An, South Korean, Female," December  5, 1990", 30,https://i.mydramalist.com/kVxZOc.jpg
