Title,Ratings,Ranked,Popularity,Actor 1,URL 1,Actor 2,URL 2
Strong Woman Do Bong Soon,8.7, #84, #2,Park Bo Young,/people/1498-park-bo-young,Park Hyung Shik,/people/3014-park-hyung-shik
The Heirs,7.5, #2787, #8,Lee Min Ho,/people/232-lee-min-ho,Park Shin Hye,/people/210-park-shin-hye
Pinocchio,8.4, #265, #9,Lee Jong Suk,/people/900-lee-jong-suk,Park Shin Hye,/people/210-park-shin-hye
Goblin,8.9, #33, #1,Gong Yoo,/people/440-gong-yoo,Kim Go Eun,/people/2599-kim-go-eun
W,8.5, #196, #5,Han Hyo Joo,/people/300-han-hyo-joo,Lee Jong Suk,/people/900-lee-jong-suk
Healer,8.9, #25, #10,Ji Chang Wook,/people/806-ji-chang-wook,Park Min Young,/people/430-park-min-young
You Who Came from the Stars,8.6, #109, #6,Kim Soo Hyun,/people/424-kim-soo-hyun,Jun Ji Hyun,/people/285-jun-ji-hyun
While You Were Sleeping,8.7, #59, #12,Bae Suzy,/people/422-suzy,Lee Jong Suk,/people/900-lee-jong-suk
Weightlifting Fairy Kim Bok Joo,8.8, #39, #7,Lee Sung Kyung,/people/7660-lee-sung-kyung,Nam Joo Hyuk,/people/7714-nam-joo-hyuk
Descendants of the Sun,8.7, #76, #3,Song Joong Ki,/people/431-song-joong-ki,Song Hye Kyo,/people/294-song-hye-kyo
The Legend of the Blue Sea,8.4, #340, #17,Lee Min Ho,/people/232-lee-min-ho,Jun Ji Hyun,/people/285-jun-ji-hyun
Secret Garden,8.3, #428, #14,Hyun Bin,/people/183-hyun-bin,Ha Ji Won,/people/187-ha-ji-won
What's Wrong with Secretary Kim,8.5, #189, #11,Park Min Young,/people/430-park-min-young,Park Seo Joon,/people/2195-park-seo-joon
Crash Landing on You,8.9, #24, #18,Hyun Bin,/people/183-hyun-bin,Son Ye Jin,/people/293-son-ye-jin
"Kill Me, Heal Me",8.7, #55, #15,Ji Sung,/people/469-ji-sung,Hwang Jung Eum,/people/669-hwang-jung-eum
Moon Lovers: Scarlet Heart Ryeo,8.6, #91, #13,Lee Joon Gi,/people/207-lee-joon-gi,IU,/people/426-iu
I Hear Your Voice,8.6, #121, #21,Lee Jong Suk,/people/900-lee-jong-suk,Lee Bo Young,/people/1435-lee-bo-young
City Hunter,8.4, #301, #20,Lee Min Ho,/people/232-lee-min-ho,Park Min Young,/people/430-park-min-young
I'm Not a Robot,8.5, #222, #23,Yoo Seung Ho,/people/589-yoo-seung-ho,Chae Soo Bin,/people/9225-chae-soo-bin
Cheese in the Trap,7.6, #2335, #24,Kim Go Eun,/people/2599-kim-go-eun,Park Hae Jin,/people/645-park-hae-jin
It's Okay to Not Be Okay,9.1, #10, #28,Kim Soo Hyun,/people/424-kim-soo-hyun,Seo Ye Ji,/people/6516-seo-ye-ji
Suspicious Partner,8.3, #435, #29,Ji Chang Wook,/people/806-ji-chang-wook,Nam Ji Hyun,/people/1434-nam-ji-hyun
"It's Okay, That's Love",8.7, #89, #30,Jo In Sung,/people/433-jo-in-sung,Gong Hyo Jin,/people/807-gong-hyo-jin
Oh My Ghostess,8.4, #306, #31,Park Bo Young,/people/1498-park-bo-young,Kim Seul Gi,/people/4837-kim-seul-gi
She Was Pretty,8.1, #742, #22,Hwang Jung Eum,/people/669-hwang-jung-eum,Park Seo Joon,/people/2195-park-seo-joon
The Master's Sun,8.6, #120, #27,Gong Hyo Jin,/people/807-gong-hyo-jin,So Ji Sub,/people/493-so-ji-sub
Playful Kiss,7.3, #3768, #32,Kim Hyun Joong,/people/233-kim-hyun-joong,Jung So Min,/people/346-jung-so-min
Dream High,8.0, #999, #33,Bae Suzy,/people/422-suzy,Kim Soo Hyun,/people/424-kim-soo-hyun
Fight For My Way,8.5, #194, #25,Park Seo Joon,/people/2195-park-seo-joon,Kim Ji Won,/people/1692-kim-ji-won
Hotel del Luna,8.7, #78, #26,IU,/people/426-iu,Yeo Jin Goo,/people/1500-yeo-jin-goo
Reply 1997,8.6, #130, #36,Jung Eun Ji,/people/3843-jung-eun-ji,Seo In Guk,/people/2576-seo-in-guk
Cinderella and the Four Knights,7.8, #1637, #34,Park So Dam,/people/7706-park-so-dam,Jung Il Woo,/people/474-jung-il-woo
