Title,Character1,Character2,Character3,Character4
W,Oh Yeon Joo,Kang Chul,,
What's Wrong with Secretary Kim,Kim Mi So,,,Lee Young Joon
You Who Came from the Stars,Do Min Joon,Cheon Song Yi,,
Goblin,,Ji Eun Tak,Kim Shin,
Weightlifting Fairy Kim Bok Joo,,,Kim Bok Joo,Jung Joon Hyung
Descendants of the Sun,Yoo Shi Jin,Dr. Kang Mo Yeon,,
Pinocchio,,,Choi Dal Po / Ki Ha Myung,Choi In Ha
The Heirs,Kim Tan,Cha Eun Sang,,
Strong Woman Do Bong Soon,,,Do Bong Soon,Ahn Min Hyuk
Crash Landing on You,,,Ri Jung Hyuk,"Yoon Se Ri / ""Sam Suk"""
Secret Garden,Kim Joo Won,Gil Ra Im,,
Healer,,,"Seo Jung Hoo / Park Bong Soo / ""Healer""",Chae Yeong Shin / Oh Ji An
Moon Lovers: Scarlet Heart Ryeo,Wang So [4th Prince],,,Go Ha Jin / Hae Soo
While You Were Sleeping,,,Nam Hong Ju,Jung Jae Chan
"Kill Me, Heal Me",,,Cha Do Hyun,Oh Ri Jin
The Legend of the Blue Sea,Heo Joon Jae / Kim Dam Ryung [Past],Shim Chung / Seo Hwa [Past],,
I Hear Your Voice,,,Park Soo Ha,Jang Hye Sung
City Hunter,,,"Lee Yoon Sung / ""Poochai""",Kim Na Na
I'm Not a Robot,,,Kim Min Kyu,Jo Ji Ah | Aji-3
She Was Pretty,Kim Hye Jin,,,Ji Sung Jun
"It's Okay, That's Love",,,Jang Jae Yeol,Ji Hae Soo
It's Okay to Not Be Okay,,, Moon Gang Tae,Ko Moon Young
The Master's Sun,,,"Tae Gong Shil ""Tae Yang""","Joo Joong Won / ""Joo Goon"""
Fight For My Way,,,Ko Dong Man,Choi Ae Ra
Playful Kiss,,Oh Ha Ni,Baek Seung Jo,
Cheese in the Trap,Hong Seol,Yoo Jung,,
Hotel del Luna,,,Jang Man Wol,Goo Chan Sung
Dream High,Go Hye Mi,Song Sam Dong,,
Suspicious Partner,,,Noh Ji Wook,Eun Bong Hee
Reply 1997,Sung Shi Won,Yoon Yoon Jae,,
Oh My Venus,,,Kim Young Ho / John Kim,Kang Joo Eun
Cinderella and the Four Knights,,,Eun Ha Won,Kang Ji Woon / Han Ji Woon
My ID Is Gangnam Beauty,Kang Mi Rae,,,Do Kyung Suk
Because This is My First Life,,,Yoon Ji Ho,Nam Se Hee
Personal Taste,Jeon Jin Ho,,,Park Gae In
Itaewon Class,,,Park Sae Ro Yi,Jo Yi  Seo
Her Private Life,,,Sung Duk Mi,Ryan Gold / Heo Yoon Jae
My Girlfriend Is a Gumiho,,,Cha Dae Wung,Gumiho | Gildal
Who Are You: School 2015,,,Lee Eun Bi | Go Eun Byul,Han Yi An
The K2,,,"Kim Je Ha / ""K2""",Go An Na
To The Beautiful You,,Kang Tae Joon,Goo Jae Hee,
Hwarang,,,Moo Myung / Kim Sun Woo,Ah Ro
Heartstrings,,,Lee Kyu Won,Lee Shin
A Korean Odyssey,Son Oh Gong,,,Jin Seon Mi / Sam Jang
Reply 1988,,,Sung Deok Sun / Sung Soo Yeon,Sung Sun Woo
Doctors,,,Professor Hong Ji Hong,Dr. Yoo Hye Jung
Love in the Moonlight,Lee Young / Crown Prince Hyo Myung,,,Hong Ra On / Hong Sam Nom
Doctor Stranger,Park Hoon,,,Song Jae Hee / Han Seung Hee
Romance is a Bonus Book,Kang Dan Yi,,,Cha Eun Ho
Flower Boy Next Door,Go Dok Mi,Enrique Geum,,
Uncontrollably Fond,,,Shin Joon Yeong,No Eul
Rooftop Prince,,,Lee Kak / Yong Tae Yong,Park Ha / Boo Yong
The Bride of Habaek,,,Yoon So Ah,Ha Baek
Love Alarm,,,Kim Jo Jo,Hwang Sun Oh
My Secret Romance,,Lee Yoo Mi,Cha Jin Wook,
Extraordinary You,,,Eun Dan Oh,"Ha Ru / ""Number 13"""
Sassy Go Go,,,Kang Yeon Doo,Kim Yeol
"Bring It On, Ghost",,,Park Bong Pal,Kim Hyun Ji
The King: Eternal Monarch,,,Yi Gon,Jeong Tae Eul | Luna
He Is Psychometric,Lee Ahn,Yoon Jae In,,
