,Title,Ratings,Ranked,Popularity,Actor 1,URL 1,Actor 2,URL 2
0,Strong Woman Do Bong Soon,8.7, #84, #2,Park Bo Young,https://www.mydramalist.com/people/1498-park-bo-young,Park Hyung Shik,https://www.mydramalist.com/people/3014-park-hyung-shik
1,The Heirs,7.5, #2787, #8,Lee Min Ho,https://www.mydramalist.com/people/232-lee-min-ho,Park Shin Hye,https://www.mydramalist.com/people/210-park-shin-hye
2,Pinocchio,8.4, #265, #9,Lee Jong Suk,https://www.mydramalist.com/people/900-lee-jong-suk,Park Shin Hye,https://www.mydramalist.com/people/210-park-shin-hye
3,Goblin,8.9, #33, #1,Gong Yoo,https://www.mydramalist.com/people/440-gong-yoo,Kim Go Eun,https://www.mydramalist.com/people/2599-kim-go-eun
4,W,8.5, #196, #5,Han Hyo Joo,https://www.mydramalist.com/people/300-han-hyo-joo,Lee Jong Suk,https://www.mydramalist.com/people/900-lee-jong-suk
5,Healer,8.9, #25, #10,Ji Chang Wook,https://www.mydramalist.com/people/806-ji-chang-wook,Park Min Young,https://www.mydramalist.com/people/430-park-min-young
6,You Who Came from the Stars,8.6, #109, #6,Kim Soo Hyun,https://www.mydramalist.com/people/424-kim-soo-hyun,Jun Ji Hyun,https://www.mydramalist.com/people/285-jun-ji-hyun
7,While You Were Sleeping,8.7, #59, #12,Bae Suzy,https://www.mydramalist.com/people/422-suzy,Lee Jong Suk,https://www.mydramalist.com/people/900-lee-jong-suk
8,Weightlifting Fairy Kim Bok Joo,8.8, #39, #7,Lee Sung Kyung,https://www.mydramalist.com/people/7660-lee-sung-kyung,Nam Joo Hyuk,https://www.mydramalist.com/people/7714-nam-joo-hyuk
9,Descendants of the Sun,8.7, #76, #3,Song Joong Ki,https://www.mydramalist.com/people/431-song-joong-ki,Song Hye Kyo,https://www.mydramalist.com/people/294-song-hye-kyo
10,The Legend of the Blue Sea,8.4, #340, #17,Lee Min Ho,https://www.mydramalist.com/people/232-lee-min-ho,Jun Ji Hyun,https://www.mydramalist.com/people/285-jun-ji-hyun
11,Secret Garden,8.3, #428, #14,Hyun Bin,https://www.mydramalist.com/people/183-hyun-bin,Ha Ji Won,https://www.mydramalist.com/people/187-ha-ji-won
12,What's Wrong with Secretary Kim,8.5, #189, #11,Park Min Young,https://www.mydramalist.com/people/430-park-min-young,Park Seo Joon,https://www.mydramalist.com/people/2195-park-seo-joon
13,Crash Landing on You,8.9, #24, #18,Hyun Bin,https://www.mydramalist.com/people/183-hyun-bin,Son Ye Jin,https://www.mydramalist.com/people/293-son-ye-jin
14,"Kill Me, Heal Me",8.7, #55, #15,Ji Sung,https://www.mydramalist.com/people/469-ji-sung,Hwang Jung Eum,https://www.mydramalist.com/people/669-hwang-jung-eum
15,Moon Lovers: Scarlet Heart Ryeo,8.6, #91, #13,Lee Joon Gi,https://www.mydramalist.com/people/207-lee-joon-gi,IU,https://www.mydramalist.com/people/426-iu
16,I Hear Your Voice,8.6, #121, #21,Lee Jong Suk,https://www.mydramalist.com/people/900-lee-jong-suk,Lee Bo Young,https://www.mydramalist.com/people/1435-lee-bo-young
17,City Hunter,8.4, #301, #20,Lee Min Ho,https://www.mydramalist.com/people/232-lee-min-ho,Park Min Young,https://www.mydramalist.com/people/430-park-min-young
18,I'm Not a Robot,8.5, #222, #23,Yoo Seung Ho,https://www.mydramalist.com/people/589-yoo-seung-ho,Chae Soo Bin,https://www.mydramalist.com/people/9225-chae-soo-bin
19,Cheese in the Trap,7.6, #2335, #24,Kim Go Eun,https://www.mydramalist.com/people/2599-kim-go-eun,Park Hae Jin,https://www.mydramalist.com/people/645-park-hae-jin
20,It's Okay to Not Be Okay,9.1, #10, #28,Kim Soo Hyun,https://www.mydramalist.com/people/424-kim-soo-hyun,Seo Ye Ji,https://www.mydramalist.com/people/6516-seo-ye-ji
21,Suspicious Partner,8.3, #435, #29,Ji Chang Wook,https://www.mydramalist.com/people/806-ji-chang-wook,Nam Ji Hyun,https://www.mydramalist.com/people/1434-nam-ji-hyun
22,"It's Okay, That's Love",8.7, #89, #30,Jo In Sung,https://www.mydramalist.com/people/433-jo-in-sung,Gong Hyo Jin,https://www.mydramalist.com/people/807-gong-hyo-jin
23,Oh My Ghostess,8.4, #306, #31,Park Bo Young,https://www.mydramalist.com/people/1498-park-bo-young,Kim Seul Gi,https://www.mydramalist.com/people/4837-kim-seul-gi
24,She Was Pretty,8.1, #742, #22,Hwang Jung Eum,https://www.mydramalist.com/people/669-hwang-jung-eum,Park Seo Joon,https://www.mydramalist.com/people/2195-park-seo-joon
25,The Master's Sun,8.6, #120, #27,Gong Hyo Jin,https://www.mydramalist.com/people/807-gong-hyo-jin,So Ji Sub,https://www.mydramalist.com/people/493-so-ji-sub
26,Playful Kiss,7.3, #3768, #32,Kim Hyun Joong,https://www.mydramalist.com/people/233-kim-hyun-joong,Jung So Min,https://www.mydramalist.com/people/346-jung-so-min
27,Dream High,8.0, #999, #33,Bae Suzy,https://www.mydramalist.com/people/422-suzy,Kim Soo Hyun,https://www.mydramalist.com/people/424-kim-soo-hyun
28,Fight For My Way,8.5, #194, #25,Park Seo Joon,https://www.mydramalist.com/people/2195-park-seo-joon,Kim Ji Won,https://www.mydramalist.com/people/1692-kim-ji-won
29,Hotel del Luna,8.7, #78, #26,IU,https://www.mydramalist.com/people/426-iu,Yeo Jin Goo,https://www.mydramalist.com/people/1500-yeo-jin-goo
30,Reply 1997,8.6, #130, #36,Jung Eun Ji,https://www.mydramalist.com/people/3843-jung-eun-ji,Seo In Guk,https://www.mydramalist.com/people/2576-seo-in-guk
31,Cinderella and the Four Knights,7.8, #1637, #34,Park So Dam,https://www.mydramalist.com/people/7706-park-so-dam,Jung Il Woo,https://www.mydramalist.com/people/474-jung-il-woo
32,Oh My Venus,8.3, #452, #35,So Ji Sub,https://www.mydramalist.com/people/493-so-ji-sub,Shin Min Ah,https://www.mydramalist.com/people/282-shin-min-ah
33,My ID Is Gangnam Beauty,8.2, #673, #37,Im Soo Hyang,https://www.mydramalist.com/people/545-im-soo-hyang,Cha Eun Woo,https://www.mydramalist.com/people/10399-cha-eun-woo
34,Itaewon Class,8.5, #186, #40,Park Seo Joon,https://www.mydramalist.com/people/2195-park-seo-joon,Kim Da Mi,https://www.mydramalist.com/people/14422-kim-da-mi
35,Her Private Life,8.4, #279, #47,Park Min Young,https://www.mydramalist.com/people/430-park-min-young,Kim Jae Wook,https://www.mydramalist.com/people/314-kim-jae-wook
36,Personal Taste,7.7, #2064, #38,Lee Min Ho,https://www.mydramalist.com/people/232-lee-min-ho,Son Ye Jin,https://www.mydramalist.com/people/293-son-ye-jin
37,The K2,8.1, #704, #41,Ji Chang Wook,https://www.mydramalist.com/people/806-ji-chang-wook,Im Yoon Ah,https://www.mydramalist.com/people/972-im-yoon-ah
38,Because This is My First Life,8.6, #146, #39,Jung So Min,https://www.mydramalist.com/people/346-jung-so-min,Lee Min Ki,https://www.mydramalist.com/people/656-lee-min-ki
39,Hwarang,8.0, #1095, #42,Park Seo Joon,https://www.mydramalist.com/people/2195-park-seo-joon,Go Ah Ra,https://www.mydramalist.com/people/1287-go-ah-ra
40,Who Are You: School 2015,8.3, #501, #44,Kim So Hyun,https://www.mydramalist.com/people/1851-kim-so-hyun,Nam Joo Hyuk,https://www.mydramalist.com/people/7714-nam-joo-hyuk
41,My Girlfriend Is a Gumiho,8.1, #775, #49,Lee Seung Gi,https://www.mydramalist.com/people/387-lee-seung-gi,Shin Min Ah,https://www.mydramalist.com/people/282-shin-min-ah
42,Reply 1988,9.0, #18, #51,Lee Hye Ri,https://www.mydramalist.com/people/2664-hyeri,Go Kyung Pyo,https://www.mydramalist.com/people/2374-go-kyung-pyo
43,Doctor Stranger,7.9, #1489, #52,Lee Jong Suk,https://www.mydramalist.com/people/900-lee-jong-suk,Jin Se Yeon,https://www.mydramalist.com/people/2121-jin-se-yeon
