,title,count
0,Goblin,299
1,Strong Woman Do Bong Soon,207
2,Descendants of the Sun,194
3,W,195
4,You Who Came from the Stars,213
5,Weightlifting Fairy Kim Bok Joo,177
6,The Heirs,205
7,Pinocchio,124
8,Healer,284
9,What's Wrong with Secretary Kim,130
10,While You Were Sleeping,143
11,Moon Lovers: Scarlet Heart Ryeo,205
12,Secret Garden,164
13,"Kill Me, Heal Me",190
14,The Legend of the Blue Sea,92
15,Crash Landing on You,237
16,City Hunter,168
17,I Hear Your Voice,162
18,She Was Pretty,89
19,I'm Not a Robot,106
20,Cheese in the Trap,137
21,Fight For My Way,107
22,Hotel del Luna,162
23,The Master's Sun,174
24,It's Okay to Not Be Okay,332
25,Suspicious Partner,88
26,"It's Okay, That's Love",167
27,Oh My Ghostess,117
28,Playful Kiss,110
29,Dream High,76
30,Cinderella and the Four Knights,81
31,Oh My Venus,104
32,Reply 1997,123
33,My ID Is Gangnam Beauty,115
34,Personal Taste,67
35,Because This is My First Life,164
36,Itaewon Class,179
37,The K2,93
38,Hwarang,77
39,Who Are You: School 2015,93
40,Heartstrings,101
41,To The Beautiful You,83
42,Her Private Life,100
43,My Girlfriend Is a Gumiho,82
44,Love in the Moonlight,76
45,Reply 1988,147
46,Doctor Stranger,91
47,A Korean Odyssey,109
48,Doctors,62
49,Romance is a Bonus Book,65
50,Flower Boy Next Door,94
51,My Secret Romance,18
52,Uncontrollably Fond,91
53,Rooftop Prince,98
54,The Bride of Habaek,108
55,Extraordinary You,121
56,The King: Eternal Monarch,200
57,Fated to Love You,89
58,"Bring It On, Ghost",53
59,Touch Your Heart,92
60,Just Between Lovers,117
61,Love Alarm,98
62,Are You Human Too?,92
63,Moon Embracing the Sun,93
64,Age of Youth,86
65,Sassy Go Go,69
66,He Is Psychometric,63
67,Queen In Hyun's Man,144
68,Emergency Couple,53
69,Memories of the Alhambra,87
70,Introverted Boss,76
71,The Innocent Man,101
72,"Marriage, Not Dating",90
73,Faith,90
74,Shopping King Louie,67
75,Thirty But Seventeen,83
76,The Beauty Inside,45
77,True Beauty,179
78,Angel's Last Mission: Love,75
79,Another Miss Oh,104
80,Prison Playbook,87
81,Abyss,50
82,Hospital Playlist,123
83,Shut Up: Flower Boy Band,81
84,Sungkyunkwan Scandal,66
85,Blood,53
86,Chicago Typewriter,105
87,Flower Boy Ramen Shop,78
88,Flower of Evil,162
89,The Great Seducer,90
90,Gu Family Book,76
91,School 2017,37
92,Eulachacha Waikiki,59
93,Something in the Rain,118
94,King2Hearts,91
95,Mr. Sunshine,94
96,Start-Up,277
97,Lie to Me,76
98,The Girl Who Sees Scents,48
99,EXO Next Door,45
100,49 Days,99
101,You're All Surrounded,54
102,Dr. Romantic,39
103,Love Rain,77
104,Good Doctor,46
105,Black,84
106,Tale of the Nine-Tailed,91
107,Hi! School - Love On,34
108,Dream High 2,45
109,Reply 1994,49
110,The Smile Has Left Your Eyes,67
111,Jealousy Incarnate,58
112,Moorim School,50
113,My First First Love,38
114,When the Camellia Blooms,51
115,Protect the Boss,57
116,Search: WWW,68
117,The Tale of Nokdu,66
118,Big,74
119,Come and Hug Me,66
120,Empress Ki,94
121,Something About 1 Percent,68
122,"That Winter, The Wind Blows",72
123,A Gentleman's Dignity,75
124,Falling for Innocence,63
125,Orange Marmalade,31
126,Melting Me Softly,47
127,The Producers,35
128,Secret,90
129,100 Days My Prince,60
130,Tomorrow With You,45
131,Hit the Top,49
132,Clean With Passion For Now,39
133,The Liar and His Lover,31
134,Lawless Lawyer,43
135,7 First Kisses,39
136,Mary Stayed Out All Night,47
137,The Secret Life of My Secretary,61
138,"Hyde, Jekyll, Me",49
139,Radio Romance,29
140,The Scholar Who Walks the Night,43
141,Missing You,67
142,The Greatest Love,64
143,"Noble, My Love",46
144,My Princess,48
145,The Bridal Mask,90
146,Birth of a Beauty,38
147,My Holo Love,57
148,Beautiful Gong Shim,40
149,Cunning Single Lady,49
150,Arang and the Magistrate,57
151,When the Weather Is Fine,93
152,Go Back Couple,78
153,Record of Youth,69
154,High Society,33
155,Age of Youth 2,41
156,Where Your Eyes Linger,110
157,My Strange Hero,26
158,Remember: War of the Son,29
159,Lucky Romance,38
160,Bride of the Century,45
161,Run On,97
162,Encounter,35
163,Monstar,30
