,Title,CharName,Role,MainCouple,ActorName,Gender,Image
0,When Time Stopped,Kim Sun Ah,Main Role,Yes,Ahn  Ji Hyun,Female,https://i.mydramalist.com/0NwROc.jpg
1,Itaewon Class,Jang Geun Won [Dae Hee's 1st son / Jangga's successor],Support Role,No,Ahn Bo Hyun,Male,https://i.mydramalist.com/EoxeQ_5c.jpg
2,Her Private Life,Nam Eun Gi,Support Role,No,Ahn Bo Hyun,Male,https://i.mydramalist.com/EoxeQ_5c.jpg
3,My Only Love Song,Mu Myung,Support Role,No,Ahn Bo Hyun,Male,https://i.mydramalist.com/EoxeQ_5c.jpg
4,Wednesday 3:30 PM,Baek Seung Gyu,Main Role,No,Ahn Bo Hyun,Male,https://i.mydramalist.com/EoxeQ_5c.jpg
5,XX,Yoon Na Na,Main Role,Yes,Ahn Hee Yeon,Female,https://i.mydramalist.com/qAkk5c.jpg
6,Thirty But Seventeen,Yoo Chan,Main Role,No,Ahn Hyo Seop,Male,https://i.mydramalist.com/qw772c.jpg
7,Dr. Romantic 2,Seo Woo Jin,Main Role,Yes,Ahn Hyo Seop,Male,https://i.mydramalist.com/qw772c.jpg
8,Queen of the Ring,Park Se Gun,Main Role,Yes,Ahn Hyo Seop,Male,https://i.mydramalist.com/qw772c.jpg
9,Abyss,Cha Min,Main Role,Yes,Ahn Hyo Seop,Male,https://i.mydramalist.com/qw772c.jpg
10,Be Melodramatic,Son Beom Soo,Main Role,No,Ahn Jae Hong,Male,https://i.mydramalist.com/27JKOc.jpg
11,Fight For My Way,Kim Joo Man,Main Role,No,Ahn Jae Hong,Male,https://i.mydramalist.com/27JKOc.jpg
12,You're All Surrounded,Park Tae Il,Main Role,No,Ahn Jae Hyun,Male,https://i.mydramalist.com/dJjDW_5c.jpg
13,Cinderella and the Four Knights,Kang Hyun Min,Main Role,No,Ahn Jae Hyun,Male,https://i.mydramalist.com/dJjDW_5c.jpg
14,Love with Flaws,Lee Kang Woo,Main Role,Yes,Ahn Jae Hyun,Male,https://i.mydramalist.com/dJjDW_5c.jpg
15,Blood,Park Ji Sang,Main Role,Yes,Ahn Jae Hyun,Male,https://i.mydramalist.com/dJjDW_5c.jpg
16,The Beauty Inside,Ryu Eun Ho,Main Role,No,Ahn Jae Hyun,Male,https://i.mydramalist.com/dJjDW_5c.jpg
17,Mama Fairy and the Woodcutter,Teacher Goo,Support Role,No,Ahn Kil Kang,Male,https://i.mydramalist.com/WQpx5c.jpg
18,Memorials,Goo Young Tae [Se Ra's father],Support Role,No,Ahn Kil Kang,Male,https://i.mydramalist.com/WQpx5c.jpg
19,My Country: The New Age,Nam Jeon [Seon Ho's father],Main Role,No,Ahn Nae Sang,Male,https://i.mydramalist.com/1g5nQc.jpg
20,"Meow, the Secret Boy",Kim Soo Pyung [Kim Sol Ah's father],Support Role,No,Ahn Nae Sang,Male,https://i.mydramalist.com/1g5nQc.jpg
21,Monstar,Han Ji Woong,Main Role,No,Ahn Nae Sang,Male,https://i.mydramalist.com/1g5nQc.jpg
22,The Light in Your Eyes,Kim Dae Sang [Hye Ja's father],Support Role,No,Ahn Nae Sang,Male,https://i.mydramalist.com/1g5nQc.jpg
23,Memorials,Jo Maeng Deok,Main Role,No,Ahn Nae Sang,Male,https://i.mydramalist.com/1g5nQc.jpg
