Title,CharName,Role,MainCouple,ActorName,Gender,Image
Goblin,[Samshin Lady],Support Role,No,Lee El,Female,https://i.mydramalist.com/Xvo2dc.jpg
Goblin,Yoo Duk Hwa,Main Role,No,Yook Sung Jae,Male,https://i.mydramalist.com/Zowg1c.jpg
I'm Not a Robot,Pi [Baek Gyun's colleague],Support Role,No,Park Se Wan,Female,https://i.mydramalist.com/jbdEB_5c.jpg
It's Okay to Not Be Okay,Park Haeng Ja [Head nurse at OK Psychiatric Hospital],Support Role,No,Jang Young Nam,Female,https://i.mydramalist.com/x7ZR3_5c.jpg
It's Okay to Not Be Okay,Nam Joo Ri,Main Role,No,Park Gyu Young,Female,https://i.mydramalist.com/pg1wV_5c.jpg
The Legend of the Blue Sea,Ahn Jin Joo,Support Role,No,Moon So Ri,Female,https://i.mydramalist.com/wA78nc.jpg
I'm Not a Robot,Ssanip [Baek Gyun's colleague] ,Support Role,No,Go Geon Han,Male,https://i.mydramalist.com/EQwd5_5c.jpg
The Legend of the Blue Sea,Cha Shi Ah,Support Role,No,Shin Hae Sun,Female,https://i.mydramalist.com/q5VbB_5c.jpg
I'm Not a Robot,Hoktal [Baek Gyun's colleague] ,Support Role,No,Song Jae Ryong,Male,https://i.mydramalist.com/XED1p_5c.jpg
Secret Garden,Lee Ji Hyun [Psychologist],Support Role,No,Yoo Seo Jin,Female,https://i.mydramalist.com/QdNv5c.jpg
It's Okay to Not Be Okay,Oh Ji Wang [Director of OK Psychiatric Hospital],Support Role,No,Kim Chang Wan,Male,https://i.mydramalist.com/YYxXdc.jpg
Crash Landing on You,Pyo Chi Su [5th Company master sergeant],Support Role,No,Yang Kyung Won,Male,https://i.mydramalist.com/pOO1Vc.jpg
While You Were Sleeping,Jung Seung Won [Jae Chan's little brother],Support Role,No,Shin Jae Ha,Male,https://i.mydramalist.com/E07m7_5c.jpg
Crash Landing on You,Park Kwang Beom [5th Company first lieutenant],Support Role,No,Lee Shin Young,Male,https://i.mydramalist.com/6Lz0Pc.jpg
Healer,Kim Moon Shik [Moon Ho's older brother],Support Role,No,Park Sang Won,Male,https://i.mydramalist.com/Z00Ekc.jpg
The Heirs,Kim Won,Support Role,No,Choi Jin Hyuk,Male,https://i.mydramalist.com/xYDEzc.jpg
Healer,Choi Myung Hee [Moon Shik's wife],Support Role,No,Do Ji Won,Female,https://i.mydramalist.com/vy1j2c.jpg
The Heirs,Yoon Chan Yeong,Support Role,No,Kang Min Hyuk,Male,https://i.mydramalist.com/4BvZw_5c.jpg
You Who Came from the Stars,Lee Jae Kyung [Hee Kyung's brother],Support Role,No,Shin Sung Rok,Male,https://i.mydramalist.com/44Rndc.jpg
The Heirs,Yoo Rachel,Support Role,No,Kim Ji Won,Female,https://i.mydramalist.com/vqA4Bc.jpg
The Heirs,Choi Young Do,Main Role,No,Kim Woo Bin,Male,https://i.mydramalist.com/RbYgo_5c.jpg
The Heirs,Kim Tan,Main Role,Yes,Lee Min Ho,Male,https://i.mydramalist.com/kEpQwc.jpg
You Who Came from the Stars,Yoo Se Mi,Main Role,No,Yoo In Na,Female,https://i.mydramalist.com/kW6rwc.jpg
The Heirs,Cha Eun Sang,Main Role,Yes,Park Shin Hye,Female,https://i.mydramalist.com/pYK4r_5c.jpg
You Who Came from the Stars,Jang Young Mok [Min Joon's friend],Support Role,No,Kim Chang Wan,Male,https://i.mydramalist.com/YYxXdc.jpg
You Who Came from the Stars,Do Min Joon,Main Role,Yes,Kim Soo Hyun,Male,https://i.mydramalist.com/WonJO_5c.jpg
You Who Came from the Stars,Cheon Song Yi,Main Role,Yes,Jun Ji Hyun,Female,https://i.mydramalist.com/qwydDc.jpg
Healer,Jo Min Ja [Hacker],Support Role,No,Kim  Mi Kyung,Female,https://i.mydramalist.com/xw1DX_5c.jpg
You Who Came from the Stars,Lee Hee Kyung,Main Role,No,Park Hae Jin,Male,https://i.mydramalist.com/BwX6qc.jpg
Healer,Kim Moon Ho,Main Role,No,Yoo Ji Tae,Male,https://i.mydramalist.com/rxLvjc.jpg
Secret Garden,Im Jong Soo,Support Role,No,Lee Phillip,Male,https://i.mydramalist.com/3okbVc.jpg
Healer,Chae Yeong Shin / Oh Ji An,Main Role,Yes,Park Min Young,Female,https://i.mydramalist.com/qlep0_5c.jpg
Secret Garden,Yoon Seul,Main Role,No,Kim Sa Rang,Female,https://i.mydramalist.com/2gqx2c.jpg
