,Title,Ratings,Ranked,Popularity,Name,Gender,Image,Character1
0,100 Days My Prince,8.3, #354, #160,Do Kyung Soo, Male,https://i.mydramalist.com/43e46c.jpg,Crown Prince Lee Yool / Na Won Deuk
1,100 Days My Prince,8.3, #354, #160,Nam Ji Hyun, Female,https://i.mydramalist.com/wlJ8Yc.jpg,Hong Shim / Yoon Yi Seo
2,18 Again,8.8, #44, #287,Kim Ha Neul, Female,https://i.mydramalist.com/Qy7kW_5c.jpg,Hong Dae Young [37 years old]
3,18 Again,8.8, #44, #287,Yoon Sang Hyun, Male,https://i.mydramalist.com/dxN6W_5c.jpg,Jung Da Jung
4,7th Grade Civil Servant,6.9, #4405, #632,Joo Won, Male,https://i.mydramalist.com/wrJg1_5c.jpg,Han Gil Ro / Han Pil Hoon
5,7th Grade Civil Servant,6.9, #4405, #632,Choi Kang Hee, Female,https://i.mydramalist.com/dBjrW_5c.jpg,Kim Seo Won / Kim Kyung Ja
6,A Beautiful Mind,8.3, #491, #265,Jang Hyuk, Male,https://i.mydramalist.com/01XN7c.jpg,Lee Young Oh
7,A Beautiful Mind,8.3, #491, #265,Park So Dam, Female,https://i.mydramalist.com/1qm06c.jpg,Gye Jin Sung
8,A Gentleman's Dignity,8.3, #442, #152,Jang Dong Gun, Male,https://i.mydramalist.com/Lxm33c.jpg,Kim Do Jin
9,A Gentleman's Dignity,8.3, #442, #152,Kim Ha Neul, Female,https://i.mydramalist.com/Qy7kW_5c.jpg,Seo Yi Soo
10,A Korean Odyssey,8.3, #509, #53,Oh Yeon Seo, Female,https://i.mydramalist.com/XgBRgc.jpg,Jin Seon Mi / Sam Jang
11,A Korean Odyssey,8.3, #509, #53,Lee Seung Gi, Male,https://i.mydramalist.com/B3RRqc.jpg,Son Oh Gong
12,A Love So Beautiful,7.8, #1566, #676,So Ju Yeon, Female,https://i.mydramalist.com/kdxZv_5c.jpg,Shin Sol Yi
13,A Love So Beautiful,7.8, #1566, #676,Kim Yo Han, Male,https://i.mydramalist.com/Erl6Oc.jpg,Cha Heon
14,A Piece of Your Mind,8.1, #734, #366,Chae Soo Bin, Female,https://i.mydramalist.com/ZoeeOc.jpg,Han Seo Woo
15,A Piece of Your Mind,8.1, #734, #366,Jung Hae In, Male,https://i.mydramalist.com/r3l2N_5c.jpg,Moon Ha Won
16,A Poem a Day,7.9, #1232, #438,Lee Yoo Bi, Female,https://i.mydramalist.com/BbNl1c.jpg,Ye Je Wook
17,A Poem a Day,7.9, #1232, #438,Lee Joon Hyuk, Male,https://i.mydramalist.com/QBg4A_5c.jpg,Woo Bo Young
18,About Time,7.4, #3180, #285,Lee Sung Kyung, Female,https://i.mydramalist.com/R4RX6_5c.jpg,Lee Do Ha
19,About Time,7.4, #3180, #285,Lee Sang Yoon, Male,https://i.mydramalist.com/q8Zn8c.jpg,Choi Michaela
20,Abyss,7.8, #1567, #96,Park Bo Young, Female,https://i.mydramalist.com/vywkBc.jpg,Cha Min
