,Actor,Least_Array_Diff,Best_Match_Actor
0,JungYooJin,0.2759072780609131,KwonNaRa
2,KangYeNa,0.3711179494857788,GoAhRa
3,KimHyunSoo,0.30561214685440063,KimSoHyun
7,KimBoMi,0.38715851306915283,ImSooJung
34,BaeDaBin,0.2583460211753845,ShinSeKyung
37,JoHyeJoo,0.3050025701522827,KimGoEun
40,ChunWooHee,0.25474488735198975,OhYeonSeo
49,SaHyunJin,0.2901798486709595,Uee
54,ChoiARa,0.33057987689971924,KimGoEun
72,HanSoHee,0.2916264533996582,GongSeungYeon
78,YeomHyeRan,0.3992607593536377,HaJiWon
92,HongSeoYoung,0.3592517375946045,MoonChaeWon
96,HyoMin,0.2130407691001892,KimSoHyun
108,NamKiAe,0.39804714918136597,KimHyeSoo
110,OhHyunKyung,0.31363511085510254,MoonChaeWon
115,ParkJiHyun,0.24091267585754395,Krystal
128,JungAeYun,0.2954881191253662,HaJiWon
130,JoMinAh,0.3438807725906372,Joy
133,YooInYoung,0.24422943592071533,ShinYeEun
134,WangJiHye,0.2579067349433899,OhYeonSeo
138,LeeSooJi,0.3339543342590332,KimGoEun
152,KimHoJung,0.32149744033813477,HaJiWon
161,KimHaNeul,0.2643336057662964,HaJiWon
164,ParkYooNa,0.2742041349411011,ShinMinAh
172,AhnJiHyun,0.3299376964569092,KimHyeYoon
176,KimHeeJung,0.3508520722389221,KimSoHyun
187,JeonHyoSung,0.36763179302215576,IU
191,YoonSoHee,0.25142818689346313,ShinSeKyung
209,JeonHyeJin,0.3548724055290222,HaJiWon
232,JeonSoMin,0.2664155960083008,ShinSeKyung
236,ShinDongMi,0.2966146469116211,SongJiHyo
239,KimJaeKyung,0.23139941692352295,NamJiHyun
251,KimSeulGi,0.24025875329971313,KimGoEun
257,JungHyeSung,0.30339860916137695,KwonNaRa
259,JungYuMi,0.25270187854766846,OhYeonSeo
261,LeeRuby,0.20792686939239502,ShinSeKyung
266,JeonMiSeon,0.3665449023246765,HaJiWon
272,LeeChungAh,0.29031747579574585,LeeBoYoung
278,ChoiYeonCheong,0.32448482513427734,KimSoHyun
288,LeeHaNa,0.23677700757980347,KwonNaRa
290,JangYoungNam,0.2899591326713562,LeeBoYoung
308,NaHaeRyung,0.3310503363609314,ParkBoYoung
313,RyuHyunKyung,0.323849081993103,GongSeungYeon
320,ParkHaSun,0.363528847694397,KimSoHyun
328,YoonYeJoo,0.3133382201194763,KimSoHyun
337,LeeMiYoung,0.3687850832939148,HaJiWon
340,ParkGyuRi,0.2268088459968567,OhYeonSeo
347,HwangSunHee,0.27396953105926514,Uee
350,JiWoo,0.3431154489517212,KwonNaRa
352,JungDaSol,0.22512894868850708,OhYeonSeo
354,YooSeoJin,0.3887980580329895,BangMinAh
364,ParkSoonChun,0.3471960425376892,NamJiHyun
366,ParkJooMi,0.2686103582382202,ParkMinYoung
384,LeeElijah,0.34028083086013794,Krystal
386,Yura,0.2932890057563782,ShinSeKyung
392,Eugene,0.2862498164176941,ParkMinYoung
399,YooSoYoung,0.3408053517341614,KwonNaRa
416,HwangBoRa,0.3198973536491394,BangMinAh
420,KimMinJung,0.30464988946914673,NamJiHyun
430,JeonYeoBin,0.30986636877059937,Krystal
438,HanBoReum,0.3133864998817444,KimAhJoong
444,MoonJungHee,0.2902675271034241,HaJiWon
455,MoonGeunYoung,0.3059106469154358,WonJinAh
462,MoonSoRi,0.2659177780151367,GongSeungYeon
465,KimHyeJoon,0.19405388832092285,KimGoEun
471,YangJinSung,0.3233163356781006,KimYooJung
