,actor,match,score,linecount
0,BaeSuzy,LeeJongSuk,0.1854022988505747,5
1,ChaeSooBin,JungHaeIn,0.4206666666666667,7
2,GongHyoJin,JoInSung,0.267517006802721,16
3,GongSeungYeon,LeeJongHyun,0.2434920634920634,7
4,GongYoo,LeeDongWook,0.4126016260162601,13
5,HaJiWon,LeeSeungGi,0.3054166666666666,7
6,HanJiMin,ParkYooChun,0.2258613445378151,7
7,HwangJungEum,ParkSeoJoon,0.4087301587301588,7
8,HyunBin,SonYeJin,0.381752941893787,33
9,IU,LeeJoonGi,0.3382034632034632,7
10,ImSooJung,YooAhIn,0.215340909090909,5
11,JangKiYong,JinKiJoo,0.4261904761904762,8
12,JiChangWook,ParkMinYoung,0.3971580841638982,34
13,JiSung,HanJiMin,0.2208333333333333,6
14,JinKiJoo,JangKiYong,0.4261904761904762,8
15,JunJiHyun,KimSooHyun,0.2821138211382113,12
16,JungHaeIn,SonYeJin,0.5010869565217392,9
17,JungSoMin,LeeMinKi,0.3397372742200328,9
18,KimGoEun,GongYoo,0.2189518336070059,25
19,KimJiWon,ParkSeoJoon,0.326930894308943,16
20,KimSoHyun,OkTaecYeon,0.2341954022988505,9
21,KimSooHyun,JunJiHyun,0.2821138211382113,12
22,KimYooJung,ParkBoGum,0.3932828282828283,10
23,LeeDongWook,GongYoo,0.4126016260162601,13
24,LeeJongSuk,LeeNaYoung,0.2944791666666666,8
25,LeeJoonGi,IU,0.3382034632034632,7
26,LeeMinHo,ParkMinYoung,0.3317355889724311,8
27,LeeSeungGi,ChaSeungWon,0.5928571428571429,5
28,MoonChaeWon,ParkShiHoo,0.2683197049863717,5
29,MoonGaYoung,ChaEunWoo,0.3049084249084249,7
30,NamJooHyuk,LeeSungKyung,0.33559523809523806,18
31,ParkBoYoung,ParkHyungShik,0.3198198198198198,15
32,ParkMinYoung,SeoKangJoon,0.4334780844155844,7
33,ParkSeoJoon,HwangJungEum,0.4087301587301588,7
34,ParkShinHye,LeeJongSuk,0.2436612654320988,19
35,ParkYooChun,ShinSeKyung,0.2599731182795699,8
36,RoWoon,KimHyeYoon,0.2525738536155202,12
37,SeoKangJoon,ParkMinYoung,0.4334780844155844,7
38,ShinMinAh,LeeJeHoon,0.3003174603174602,8
39,ShinSeKyung,ParkYooChun,0.2599731182795699,8
40,ShinYeEun,ParkJinYoung,0.3040000000000001,5
41,SoJiSub,ShinMinAh,0.2902380952380952,12
42,SonYeJin,JungHaeIn,0.5010869565217392,9
43,Uee,LeeSeoJin,0.3454212454212454,5
44,WonJinAh,LeeJunHo,0.3159090909090908,9
45,YeonWooJin,ParkHyeSoo,0.4492592592592592,5
46,YooAhIn,ImSooJung,0.215340909090909,5
47,YooInNa,JiHyunWoo,0.3891891891891891,10
