,Actor,Least_Array_Diff,Best_Match_Actor,percentage_similarity
0,AhnJiHyun,0.3299376964569092,KimHyeYoon,67.00623035430908
1,BaeDaBin,0.2583460211753845,ShinSeKyung,74.16539788246155
2,BaeInHyuk,0.3209754228591919,ParkYooChun,67.90245771408081
3,BaeSooBin,0.3476070761680603,ChaSeungWon,65.23929238319397
4,Chani,0.41271865367889404,YoonHyunMin,58.728134632110596
5,CheonSeungHo,0.3596556782722473,ParkBoGum,64.03443217277527
6,ChoiARa,0.33057987689971924,KimGoEun,66.94201231002808
7,ChoiByungChan,0.30134642124176025,SongJoongKi,69.86535787582397
8,ChoiChanHo,0.3231567144393921,KimJungHyun,67.68432855606079
9,ChoiDaniel,0.35803651809692383,KimJungHyun,64.19634819030762
10,ChoiMinSung,0.2785504460334778,HyunBin,72.14495539665222
11,ChoiTaeJoon,0.3231915235519409,ParkSeoJoon,67.68084764480591
12,ChoiWonYoung,0.3491553068161011,KimNamGil,65.08446931838989
13,ChoiYeonCheong,0.32448482513427734,KimSoHyun,67.55151748657227
14,ChunWooHee,0.25474488735198975,OhYeonSeo,74.52551126480103
15,EricMun,0.3594876527786255,LeeJeHoon,64.05123472213745
16,Eugene,0.2862498164176941,ParkMinYoung,71.37501835823059
17,GoJoon,0.3159279227256775,TakWooSuk,68.40720772743225
18,GuWon,0.28781479597091675,SeoInGuk,71.21852040290833
19,HanBoReum,0.3133864998817444,KimAhJoong,68.66135001182556
20,HanSoHee,0.2916264533996582,GongSeungYeon,70.83735466003418
21,HongBin,0.2842773199081421,ParkBoGum,71.57226800918579
22,HongJongHyun,0.31006085872650146,ParkBoGum,68.99391412734985
23,HongSeoYoung,0.3592517375946045,MoonChaeWon,64.07482624053955
24,HwangBoRa,0.3198973536491394,BangMinAh,68.01026463508606
25,HwangSunHee,0.27396953105926514,Uee,72.60304689407349
26,HwiYoung,0.3859326243400574,LeeJoonGi,61.40673756599426
27,HyoMin,0.2130407691001892,KimSoHyun,78.69592308998108
28,JangWooYoung,0.3725751042366028,YeonSeungHo,62.74248957633972
29,JangYoungNam,0.2899591326713562,LeeBoYoung,71.00408673286438
30,JeonHyeJin,0.3548724055290222,HaJiWon,64.51275944709778
31,JeonHyoSung,0.36763179302215576,IU,63.236820697784424
32,JeonMiSeon,0.3665449023246765,HaJiWon,63.34550976753235
33,JeonSoMin,0.2664155960083008,ShinSeKyung,73.35844039916992
34,JeonYeoBin,0.30986636877059937,Krystal,69.01336312294006
35,JiWoo,0.3431154489517212,KwonNaRa,65.68845510482788
36,JinHyuk,0.3233621120452881,OkTaecYeon,67.66378879547119
37,JoHanSun,0.42461127042770386,OkTaecYeon,57.538872957229614
38,JoHyeJoo,0.3050025701522827,KimGoEun,69.49974298477173
39,JoHyunJae,0.30528682470321655,JiSung,69.47131752967834
40,JoMinAh,0.3438807725906372,Joy,65.61192274093628
41,JooSangWook,0.29120922088623047,JiSung,70.87907791137695
42,JungAeYun,0.2954881191253662,HaJiWon,70.45118808746338
43,JungDaSol,0.22512894868850708,OhYeonSeo,77.48710513114929
44,JungHyeSung,0.30339860916137695,KwonNaRa,69.6601390838623
