,pair,actor1,actor2,lineCount,score
0,"('ChaSeungWon', 'LeeSeungGi')",ChaSeungWon,LeeSeungGi,5,0.5928571428571429
1,"('JungHaeIn', 'SonYeJin')",JungHaeIn,SonYeJin,9,0.5010869565217392
2,"('YoonHyunMin', 'GoSungHee')",YoonHyunMin,GoSungHee,5,0.4875490196078431
3,"('SongJiHyo', 'ChoiJinHyuk')",SongJiHyo,ChoiJinHyuk,5,0.4783333333333334
4,"('JungEunJi', 'KimJiSoo')",JungEunJi,KimJiSoo,6,0.4666666666666666
5,"('YeonWooJin', 'ParkHyeSoo')",YeonWooJin,ParkHyeSoo,5,0.44925925925925925
6,"('ParkMinYoung', 'SeoKangJoon')",ParkMinYoung,SeoKangJoon,7,0.4334780844155844
7,"('JangKiYong', 'JinKiJoo')",JangKiYong,JinKiJoo,8,0.4261904761904762
8,"('ChaeSooBin', 'JungHaeIn')",ChaeSooBin,JungHaeIn,7,0.4206666666666667
9,"('GongYoo', 'LeeDongWook')",GongYoo,LeeDongWook,13,0.4126016260162601
10,"('HwangJungEum', 'ParkSeoJoon')",HwangJungEum,ParkSeoJoon,7,0.40873015873015883
11,"('NamgoongMin', 'BangMinAh')",NamgoongMin,BangMinAh,8,0.40701754385964906
12,"('KimSeJeong', 'KimJungHyun')",KimSeJeong,KimJungHyun,6,0.39765625000000004
13,"('ParkMinYoung', 'JiChangWook')",ParkMinYoung,JiChangWook,34,0.39715808416389825
14,"('KimYooJung', 'ParkBoGum')",KimYooJung,ParkBoGum,10,0.3932828282828283
15,"('JiHyunWoo', 'YooInNa')",JiHyunWoo,YooInNa,10,0.38918918918918916
16,"('HyunBin', 'SonYeJin')",HyunBin,SonYeJin,33,0.38175294189378706
17,"('ChunJungMyung', 'ChoiKangHee')",ChunJungMyung,ChoiKangHee,5,0.36666666666666675
18,"('WooDoHwan', 'Joy')",WooDoHwan,Joy,10,0.3614035087719298
19,"('Uee', 'LeeSeoJin')",Uee,LeeSeoJin,5,0.3454212454212454
20,"('KimNamGil', 'KimAhJoong')",KimNamGil,KimAhJoong,7,0.34315476190476196
21,"('JungSoMin', 'LeeMinKi')",JungSoMin,LeeMinKi,9,0.3397372742200328
22,"('LeeJoonGi', 'IU')",LeeJoonGi,IU,7,0.33820346320346323
23,"('LeeSungKyung', 'NamJooHyuk')",LeeSungKyung,NamJooHyuk,18,0.33559523809523806
24,"('ParkMinYoung', 'LeeMinHo')",ParkMinYoung,LeeMinHo,8,0.3317355889724311
25,"('LeeYooBi', 'LeeJoonHyuk')",LeeYooBi,LeeJoonHyuk,5,0.3291666666666667
26,"('KimJiWon', 'ParkSeoJoon')",KimJiWon,ParkSeoJoon,16,0.32693089430894307
27,"('ParkBoYoung', 'ParkHyungShik')",ParkBoYoung,ParkHyungShik,15,0.3198198198198198
28,"('LeeDongWook', 'YooInNa')",LeeDongWook,YooInNa,24,0.3187095238095239
29,"('LeeJunHo', 'WonJinAh')",LeeJunHo,WonJinAh,9,0.31590909090909086
30,"('LeeSeungGi', 'HaJiWon')",LeeSeungGi,HaJiWon,7,0.30541666666666667
31,"('ChaEunWoo', 'MoonGaYoung')",ChaEunWoo,MoonGaYoung,7,0.3049084249084249
32,"('ShinYeEun', 'ParkJinYoung')",ShinYeEun,ParkJinYoung,5,0.3040000000000001
33,"('LeeJeHoon', 'ShinMinAh')",LeeJeHoon,ShinMinAh,8,0.30031746031746026
34,"('HyunBin', 'HaJiWon')",HyunBin,HaJiWon,13,0.29940170940170935
35,"('KimYooJung', 'JiChangWook')",KimYooJung,JiChangWook,9,0.2990196078431373
36,"('IU', 'YeoJinGoo')",IU,YeoJinGoo,14,0.298030303030303
37,"('LeeJongSuk', 'LeeNaYoung')",LeeJongSuk,LeeNaYoung,8,0.2944791666666666
38,"('ShinHyeSun', 'KimJungHyun')",ShinHyeSun,KimJungHyun,10,0.29045138888888894
39,"('SoJiSub', 'ShinMinAh')",SoJiSub,ShinMinAh,12,0.29023809523809524
40,"('JooJiHoon', 'KimHyeSoo')",JooJiHoon,KimHyeSoo,10,0.2845238095238095
41,"('ShinMinAh', 'LeeSeungGi')",ShinMinAh,LeeSeungGi,8,0.2837121212121212
42,"('JunJiHyun', 'KimSooHyun')",JunJiHyun,KimSooHyun,12,0.2821138211382113
43,"('HanGiChan', 'JangEuiSoo')",HanGiChan,JangEuiSoo,6,0.27666666666666667
44,"('KimDongWook', 'MoonGaYoung')",KimDongWook,MoonGaYoung,11,0.27612745098039215
45,"('Rain', 'Krystal')",Rain,Krystal,9,0.2734375
46,"('KimJaeWook', 'ParkMinYoung')",KimJaeWook,ParkMinYoung,17,0.2728142857142856
47,"('MoonChaeWon', 'ParkShiHoo')",MoonChaeWon,ParkShiHoo,5,0.2683197049863717
48,"('GongHyoJin', 'JoInSung')",GongHyoJin,JoInSung,16,0.267517006802721
49,"('SongHyeKyo', 'SongJoongKi')",SongHyeKyo,SongJoongKi,13,0.2666532258064515
50,"('JiChangWook', 'NamJiHyun')",JiChangWook,NamJiHyun,13,0.2651315789473684
51,"('ShinSeKyung', 'ParkYooChun')",ShinSeKyung,ParkYooChun,8,0.2599731182795699
52,"('SeoInGuk', 'JungSoMin')",SeoInGuk,JungSoMin,10,0.2595052083333333
53,"('ParkBoYoung', 'AhnHyoSeop')",ParkBoYoung,AhnHyoSeop,6,0.2584102934102934
54,"('KimJiWon', 'JiChangWook')",KimJiWon,JiChangWook,7,0.2536805555555556
55,"('KwonNaRa', 'ParkSeoJoon')",KwonNaRa,ParkSeoJoon,6,0.2529411764705882
56,"('RoWoon', 'KimHyeYoon')",RoWoon,KimHyeYoon,12,0.2525738536155202
57,"('KimSooHyun', 'SeoYeJi')",KimSooHyun,SeoYeJi,35,0.24899145778775408
58,"('LeeJoonGi', 'MoonChaeWon')",LeeJoonGi,MoonChaeWon,16,0.24409203980099495
59,"('LeeJongSuk', 'ParkShinHye')",LeeJongSuk,ParkShinHye,19,0.24366126543209882
60,"('GongSeungYeon', 'LeeJongHyun')",GongSeungYeon,LeeJongHyun,7,0.24349206349206348
61,"('JungYongHwa', 'ParkShinHye')",JungYongHwa,ParkShinHye,9,0.24024390243902433
62,"('KimYoungKwang', 'JinKiJoo')",KimYoungKwang,JinKiJoo,12,0.23867521367521363
