,Unnamed: 0,Unnamed: 0.1,pair,actor1,actor2,lineCount,score,actor1match,actor2match
0,0,0,"('ChaSeungWon', 'LeeSeungGi')",ChaSeungWon,LeeSeungGi,5,0.5928571428571429,"SungHyuk, BaeSooBin, SungHyuk, BaeSooBin",
1,1,1,"('JungHaeIn', 'SonYeJin')",JungHaeIn,SonYeJin,9,0.5010869565217392,"ParkJiBin, ParkJiBin","BangMinAh, KimYooJung, BangMinAh, KimYooJung"
2,2,2,"('GoSungHee', 'YoonHyunMin')",GoSungHee,YoonHyunMin,5,0.4875490196078431,SeoYeJi,"JangKiYong, Chani"
3,3,3,"('ChoiJinHyuk', 'SongJiHyo')",ChoiJinHyuk,SongJiHyo,5,0.4783333333333334,"LeeHyunJin, LeeHyunJin","ShinDongMi, ShinDongMi"
4,4,4,"('JungEunJi', 'KimJiSoo')",JungEunJi,KimJiSoo,6,0.4666666666666666,,
5,5,5,"('ParkHyeSoo', 'YeonWooJin')",ParkHyeSoo,YeonWooJin,5,0.4492592592592592,"KimSeJeong, HanJiMin",LeeJoonHyuk
6,6,6,"('ParkMinYoung', 'SeoKangJoon')",ParkMinYoung,SeoKangJoon,7,0.4334780844155844,"ParkJooMi, Eugene","JungKyungHo, KangHoon"
7,7,7,"('JangKiYong', 'JinKiJoo')",JangKiYong,JinKiJoo,8,0.4261904761904762,"YoonHyunMin, YoonHyunMin",
8,8,8,"('ChaeSooBin', 'JungHaeIn')",ChaeSooBin,JungHaeIn,7,0.4206666666666667,,ParkJiBin
9,9,9,"('GongYoo', 'LeeDongWook')",GongYoo,LeeDongWook,13,0.4126016260162601,,LeeJooHyung
10,10,10,"('HwangJungEum', 'ParkSeoJoon')",HwangJungEum,ParkSeoJoon,7,0.4087301587301588,,ChoiTaeJoon
11,11,11,"('BangMinAh', 'NamgoongMin')",BangMinAh,NamgoongMin,8,0.407017543859649,"SonYeJin, YooSeoJin, HwangBoRa",KimJaeWook
12,12,12,"('KimJungHyun', 'KimSeJeong')",KimJungHyun,KimSeJeong,6,0.39765625,"ChoiDaniel, ChoiChanHo, ChoiDaniel, ChoiChanHo","ParkHyeSoo, ParkHyeSoo"
13,13,13,"('JiChangWook', 'ParkMinYoung')",JiChangWook,ParkMinYoung,34,0.3971580841638982,"LeeSooHyuk, LeeSooHyuk","ParkJooMi, Eugene, ParkJooMi, Eugene"
14,14,14,"('KimYooJung', 'ParkBoGum')",KimYooJung,ParkBoGum,10,0.3932828282828283,YangJinSung,"CheonSeungHo, HongJongHyun, LeeKangMin, HongBin, LeeJaeWook, LeeHyunWoo"
15,15,15,"('JiHyunWoo', 'YooInNa')",JiHyunWoo,YooInNa,10,0.3891891891891891,,
16,16,16,"('HyunBin', 'SonYeJin')",HyunBin,SonYeJin,33,0.381752941893787,"LeeByungHun, ChoiMinSung, LeeByungHun, ChoiMinSung","BangMinAh, KimYooJung, BangMinAh, KimYooJung"
17,17,17,"('ChoiKangHee', 'ChunJungMyung')",ChoiKangHee,ChunJungMyung,5,0.3666666666666667,,"KimMyungMin, YeonJungHoon"
18,18,18,"('LeeSeoJin', 'Uee')",LeeSeoJin,Uee,5,0.3454212454212454,"YoonDooJoon, JoJungSuk, YoonDooJoon, JoJungSuk","SaHyunJin, HwangSunHee, SaHyunJin, HwangSunHee"
19,19,19,"('KimAhJoong', 'KimNamGil')",KimAhJoong,KimNamGil,7,0.3431547619047619,"JungSoMin, HanBoReum","ChoiWonYoung, KimJooHeon, KimJoonSung"
20,20,20,"('JungSoMin', 'LeeMinKi')",JungSoMin,LeeMinKi,9,0.3397372742200328,,"YookSungJae, N"
21,21,21,"('IU', 'LeeJoonGi')",IU,LeeJoonGi,7,0.3382034632034632,JeonHyoSung,HwiYoung
22,22,22,"('LeeSungKyung', 'NamJooHyuk')",LeeSungKyung,NamJooHyuk,18,0.335595238095238,,
23,23,23,"('LeeMinHo', 'ParkMinYoung')",LeeMinHo,ParkMinYoung,8,0.3317355889724311,"KimShiHoo, KimShiHoo","ParkJooMi, Eugene, ParkJooMi, Eugene"
24,24,24,"('LeeJoonHyuk', 'LeeYooBi')",LeeJoonHyuk,LeeYooBi,5,0.3291666666666667,"HwangInYeop, HwangInYeop",
25,25,25,"('KimJiWon', 'ParkSeoJoon')",KimJiWon,ParkSeoJoon,16,0.326930894308943,,ChoiTaeJoon
26,26,26,"('ParkBoYoung', 'ParkHyungShik')",ParkBoYoung,ParkHyungShik,15,0.3198198198198198,NaHaeRyung,LeeJinHyuk
